brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Sangria,Cotton Empire Midi Dress,659,1999,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32076385/2025/5/9/12d8a652-c7da-4d4b-9330-aa5dd66e49831746782375548-Sangria-Women-Ethnic-Dresses-1001746782374717-1.jpg",https://www.myntra.com/ethnic-dresses/sangria/sangria-ethnic-motifs-print-pure-cotton-empire-midi-dress/32076385/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:28.956476Z
anayna,Floral A-Line Midi Ethnic Dress,890,2698,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21334304/2023/10/4/10d96212-4d28-447f-8ab7-cd15b91e503f1696406650695-anayna-Red-Floral-Ethnic-A-Line-Cotton-Midi-Ethnic-Dress-764-6.jpg",https://www.myntra.com/ethnic-dresses/anayna/anayna-red-floral-ethnic-a-line-cotton-midi-ethnic-dress/21334304/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:29.322571Z
Rain & Rainbow,,1042,3595,(71% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24785860/2023/9/2/293a031c-50f9-461f-bf72-ec519b8511691693674329710RainRainbowMulticolouredFloralPrintMaxiDress5.jpg",https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-shoulder-strapped-floral-printed-fit-and-flared-pure-cotton-midi-dress/24785860/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:29.817564Z
Stylum,Ethnic Dresses With Dupatta,899,3199,(Rs. 2300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29303906/2024/5/3/02eb953b-2c5b-482e-b61b-d1b5a702f1de1714714533706WomensEmbroideredCottonTieredKurtawithDupatta1.jpg",https://www.myntra.com/ethnic-dresses/stylum/stylum-embroidered-empire-maxi-ethnic-dresses-with-dupatta/29303906/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:30.248645Z
KALINI,Georgette Dresses With Dupatta,2479,7999,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/8/6sobhthj_22f81198002641f99a1af6e7452f2664.jpg",https://www.myntra.com/ethnic-dresses/kalini/kalini-georgette-maxi-ethnic-dresses-with-dupatta/31239812/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:30.733592Z
Shae by SASSAFRAS,Floral Maxi Dress,1139,2999,(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15956914/2023/9/1/30a91f16-802e-498a-bdbd-c21be8775c891693544246957ShaebySASSAFRASOrangeBlueFloralMaxiDress1.jpg",https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-orange--blue-floral-maxi-dress/15956914/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:31.099019Z
anayna,,1123,3746,(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/4/L0uykkVL_a3cb962e2be14a2aa3a718b04c43d760.jpg",https://www.myntra.com/ethnic-dresses/anayna/anayna-printed-puff-sleeves-cotton-maxi-ethnic-dress/32630275/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:31.525205Z
KALINI,Women V-Neck Ethnic Dress,1919,7999,(76% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/2/TFLXWEfq_da792319b3bc486c8b62b337bd09ab3f.jpg",https://www.myntra.com/ethnic-dresses/kalini/kalini-women-embroidered-v-neck-ethnic-dress-with-dupatta/32166107/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:31.988682Z
Shae by SASSAFRAS,Floral Maxi Dress,1049,2999,(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15956990/2021/11/15/8cd85ef1-7092-4211-b8a7-7089103c34981636970419334WomenGreenCottonkurtaShararaDupattaSetKurtaSetsGinniAroraLab1.jpg",https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-olive-green--maroon-floral-maxi-dress/15956990/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:32.781519Z
Shae by SASSAFRAS,Georgette Maxi Ethnic Dress,1169,2999,(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/13/xN9TI1L5_3a9397a6b692425ba2c7c5e7af63cd96.jpg",https://www.myntra.com/ethnic-dresses/shae+by+sassafras/shae-by-sassafras-ethnic-motifs-embroidered-georgette-maxi-ethnic-dress/32741850/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:33.183588Z
Inddus,,1951,6099,(68% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14224886/2021/8/4/906d5e28-cb16-4aab-891a-b9c1f08b62fa1628056487273-Inddus-Women-Mauve-Embellished-Gown-3501628056486570-3.jpg",https://www.myntra.com/ethnic-dresses/inddus/inddus-mauve-ethnic-motifs-sequins-embroidered-sheer-gown/14224886/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:33.634249Z
Rain & Rainbow,Printed Ethnic Dresses,1518,3795,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24888518/2023/9/9/3a4b0e15-4904-453a-9e16-f42ab3412ab71694246168341RainRainbowWomenBeigeFloralPrintedAnarkaliKurta1.jpg",https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-ethnic-motifs-printed-fit-and-flare-ethnic-dresses/24888518/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:34.044079Z
Biba,Printed Maxi Ethnic Dress,1999,3999,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28297270/2024/3/16/9708d64f-eb36-4ecb-88c7-0091e1565da91710573720611Dresses1.jpg",https://www.myntra.com/ethnic-dresses/biba/biba-ethnic-motifs-printed-mandarin-collar-sequinned-cotton-a-line-maxi-ethnic-dress/28297270/buy,https://www.myntra.com/women-ethnic-dresses,1,ethnic_wear_ethnic_dresses,2025-08-12T11:00:34.537628Z
