brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Sangria,Embroidered Kurta Set,1917,6849,(72% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32311374/2025/1/13/966e32d9-0a97-47f9-88e5-aa30f5cc5d881736748791602SangriaEmbroideredA-LineKurtaTrousersWithDupatta1.jpg",https://www.myntra.com/kurta-sets/sangria/sangria-floral-embroidered-v-neck-a-line-kurta-with-trousers--dupatta/32311374/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:27.339809Z
KIMAYRA,Floral Printed Kurta Set,1399,3599,(Rs. 2200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/1/mLEE5VJa_22fce787a85c4c8bbd76423db499f7a3.jpg",https://www.myntra.com/kurta-sets/kimayra/kimayra-floral-printed-anarkali-pure-cotton-kurta-with-palazzos-and-dupatta/32608414/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:27.743390Z
Libas,Women Embroidered Kurta Set,2599,8369,(Rs. 5770 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/34138298/2025/7/17/9550d0e3-056b-45d7-8fce-1d4c44335c5c1752741338966-Libas-Women-Floral-Embroidered-Kurta-with-Trousers--Dupatta--1.jpg",https://www.myntra.com/kurta-sets/libas/libas-women-floral-embroidered-kurta-with-trousers--dupatta/34138298/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:29.053669Z
Aaghnya,Viscose Rayon Kurta Sets,615,4345,(Rs. 3730 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/12/ru90tQyO_133d31cb633743e98fd2bed10644c016.jpg",https://www.myntra.com/kurta-sets/aaghnya/aaghnya-women-printed-viscose-rayon-kurta-sets/35687700/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:29.494839Z
KALINI,Floral Printed Kurta Set,1299,4999,(Rs. 3700 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/30/xD7cfExb_cfa1b106e5b045269d2079b4e4626f5e.jpg",https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-v-neck-anarkali-kurta-with-trousers--dupatta/35258270/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:29.921363Z
Sangria,Women Embroidered Kurta Set,1826,6299,(71% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/25/dMIGZR5K_f6c927e3d7bc4176bf9c73ffd42f388b.jpg",https://www.myntra.com/kurta-sets/sangria/sangria-women-floral-embroidered-a-line-kurta-with-trousers--dupatta/33800689/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:30.477172Z
KALINI,Pure Cotton Kurta Set,1565,4475,(Rs. 2910 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/28/cMGqG4pY_59848e088c844c1b9663d41c3d69023d.jpg",https://www.myntra.com/kurta-sets/kalini/kalini-floral-embroidered-pure-cotton-chikankari-straight-kurta-with-trousers-and-dupatta/32526341/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:30.847260Z
Anouk,"Kurta ,Trousers& Dupatta",1264,5499,(77% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29632398/2024/5/18/64148200-5a37-46b3-8b38-aebb2e8c89a81716026591221KurtaSets7.jpg",https://www.myntra.com/kurta-sets/anouk/anouk-floral-printed-regular-phulkari-pure-cotton-kurta-trousers--dupatta/29632398/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:31.289749Z
Libas,Embroidered Kurta Set,1799,4499,(Rs. 2700 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/13/W8WhIujS_dd7bfcdb2f4349b2874e168431bbfd0c.jpg",https://www.myntra.com/kurta-sets/libas/libas-floral-embroidered-sequinned-dobby-weave-straight-kurta-with-trousers--dupatta/30572952/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:31.699857Z
BKApparels,Printed Kurta with Pyjamas,599,2499,(Rs. 1900 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/35357032/2025/7/9/6ab482c3-4b18-4cc9-b4c0-d538f32603e51752063889578-BKApparels-Women-Floral-Printed-Regular-Pure-Cotton-Kurta-wi-1.jpg",https://www.myntra.com/kurta-sets/bkapparels/bkapparels-women-floral-printed-regular-pure-cotton-kurta-with-pyjamas/35357032/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:32.562535Z
PARTHVI,Pure Cotton Straight Kurta Set,1066,6666,(Rs. 5600 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33437947/2025/4/14/540abc3c-3041-45b6-ba3e-1f564bf52ce51744609327377-PARTHVI-Floral-Printed-Square-Neck-Sequinned-Pure-Cotton-Kur-1.jpg",https://www.myntra.com/kurta-sets/parthvi/parthvi-floral-printed-square-neck-sequinned-pure-cotton-kurta-with-trousers--dupatta/33437947/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:32.999922Z
Libas,Floral Printed Kurta Sets,1199,4149,(Rs. 2950 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/35166413/2025/7/17/ffe68d41-794d-4dbd-bf87-8388283373b81752745121886-Libas-Floral-Printed-V-Neck-A-Line-Kurta-With-Trousers-17917-1.jpg",https://www.myntra.com/kurta-sets/libas/libas-floral-printed-v-neck-a-line-kurta-with-trousers/35166413/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:33.642127Z
GoSriKi,Women Kurta Set,998,4345,(Rs. 3347 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31079027/2025/1/9/43b9a255-c141-4e2f-ae6c-16794b3f9f251736429142375-GoSriKi-Women-Kurta-with-Trousers--Dupatta-set-9071736429141-1.jpg",https://www.myntra.com/kurta-sets/gosriki/gosriki-women-kurta-with-trousers--dupatta-set/31079027/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:34.231484Z
Indo Era,Women Embroidered Kurta with Palazzos,1699,3999,(Rs. 2300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32973596/2025/3/20/1d12abf5-fa58-466a-b88d-84787cd2aeeb1742473946380-Indo-Era-Women-Floral-Embroidered-Regular-Thread-Work-Pure-C-2.jpg",https://www.myntra.com/kurta-sets/indo+era/indo-era-women-floral-embroidered-regular-thread-work-pure-cotton-kurta-with-palazzos/32973596/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:34.664590Z
Libas,Women Embroidered Kurta with Palazzos With Dupatta,4449,14699,(Rs. 10250 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32027758/2025/1/2/07123142-f7bd-4723-bd6c-eb41ae0d03c71735804501634-Libas-Women-Ethnic-Motifs-Embroidered-Regular-Kurta-with-Pal-1.jpg",https://www.myntra.com/kurta-sets/libas/libas-women-ethnic-motifs-embroidered-regular-kurta-with-palazzos--with-dupatta/32027758/buy,https://www.myntra.com/women-kurta-sets,1,ethnic_wear_kurta_sets,2025-08-12T11:00:35.020506Z
