brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
kipek,Women Floral Printed Anarkali Kurta,399,3999,(90% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16521816/2021/12/29/f6d64e5a-0833-4756-8286-a9f9fb4780041640769672178-kipek-Women-Kurtas-8591640769671687-1.jpg",https://www.myntra.com/kurtas/kipek/kipek-women-pink-floral-printed-anarkali-kurta/16521816/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:25.566484Z
BKApparels,Floral Print Pure Cotton Kurta,499,999,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/4/EuLjjihl_2a822dd146e44401b18eb37d150efb95.jpg",https://www.myntra.com/kurtas/bkapparels/bkapparels-women-floral-printed-thread-work-detail-pure-cotton-a--line-kurta/35356116/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:26.964647Z
Shae by SASSAFRAS,Printed Chanderi Silk Kurta,1385,3299,(58% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25545116/2023/10/19/b60900bd-4d6a-4d55-83f0-6778aa4b31491697702726156ShaebySASSAFRASWomenBlueFloralPrintedFlaredSleevesThreadWork1.jpg",https://www.myntra.com/kurtas/shae+by+sassafras/shae-by-sassafras-blue--pink-floral-printed-v--neck-chanderi-silk-anarkali-kurta/25545116/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:27.589895Z
Rimeline,Floral Printed Straight Kurta,639,1999,(68% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32166736/2025/1/28/44132bb8-25c1-4353-a0c6-45f8ccc7d00e1738049910799-Rimeline-Floral-Printed-Notch-Neck-Straight-Kurta-1001738049-1.jpg",https://www.myntra.com/kurtas/rimeline/rimeline-floral-printed-notch-neck-straight-kurta/32166736/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:27.948458Z
Libas,Floral Embroidered Kurta,879,2199,(Rs. 1320 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24340312/2025/4/7/0dc151d0-7d08-406b-85f0-da0ac405e1de1744006378175-Libas-Floral-Sequinned-Embroidered-Chanderi-Silk-Straight-Ku-1.jpg",https://www.myntra.com/kurtas/libas/libas-floral-sequinned-embroidered-chanderi-silk-straight-kurta/24340312/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:28.880301Z
Shae by SASSAFRAS,Women Printed Anarkali Kurta,899,2498,(64% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15194464/2023/10/27/d966352b-7492-4c16-a38f-a282667852a31698387241489-Shae-by-SASSAFRAS-Women-Black--White-Chevron-Printed-Anarkal-1.jpg",https://www.myntra.com/kurtas/shae+by+sassafras/shae-by-sassafras-women-black--white-chevron-printed-anarkali-kurta/15194464/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:29.247292Z
Rimeline,Pure Cotton Straight Kurtas,619,1999,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/20/a3G80CVo_ffa011bffbb044e0a2e402acbc393537.jpg",https://www.myntra.com/kurtas/rimeline/rimeline-floral-printed-v-neck-pure-cotton-straight-kurtas/32398898/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:29.801208Z
Libas,V-Neck Straight Kurta,849,2449,(Rs. 1600 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33460560/2025/4/18/b5c37967-623b-48a5-807a-411220ae836f1744976155993-Libas-Woven-Design-V-Neck-Pure-Cotton-Straight-Kurta-6001744-1.jpg",https://www.myntra.com/kurtas/libas/libas-woven-design-v-neck-pure-cotton-straight-kurta/33460560/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:30.264229Z
Vbuyz,Women Printed Kurta,699,2199,(Rs. 1500 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/10/Fs1kzwuE_0a0e047794d841ab807cd5dbecfb8292.jpg",https://www.myntra.com/kurtas/vbuyz/vbuyz-women-printed-flared-sleeves-floral-kurta/30546961/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:30.746923Z
Sangria,Women Ethnic Motifs Printed Kurta,674,2499,(73% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22057794/2023/3/1/127a6daf-a0ec-4269-9d0c-8d153353ef461677655428455-Women-Black--Red-Ethnic-Motifs-Embroidered-Mirror-Work-Kurta-1.jpg",https://www.myntra.com/kurtas/sangria/sangria-floral-yoke-printed-mirror-work-kurta/22057794/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:31.156117Z
Varanga,Bandhani Printed Cotton Kurta,699,2799,(Rs. 2100 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13764318/2022/3/9/51b9e575-be9b-4fc6-b2bf-f5473e3467471646807177823-Varanga-Women-Mauve--White-Bandhani-Printed-Pure-Cotton-Kurt-6.jpg",https://www.myntra.com/kurtas/varanga/varanga-peach--white-bandhani-printed-gota-patti-embroidered-pure-cotton-kurta/13764318/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:31.582019Z
Shae by SASSAFRAS,Panelled Anarkali Kurta,1319,3299,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25545110/2023/10/19/d4933f6b-f503-4355-9a05-05f8cbc58f101697705289468ShaebySASSAFRASWomenPinkFloralPrintedKurta4.jpg",https://www.myntra.com/kurtas/shae+by+sassafras/shae-by-sassafras-pink--green-floral-printed-pleated-anarkali-kurta/25545110/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:32.325132Z
Anouk,Women Floral Embroidered Kurta,619,1999,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/9/kg1nfcIU_5860eca9e2a0453e80cac8ec67b62a36.jpg",https://www.myntra.com/kurtas/anouk/anouk-women-floral-embroidered-flared-sleeves-thread-work-kurta/33539319/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:32.947762Z
Rimeline,Printed Pure Cotton Kurta,615,2199,(72% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31214175/2024/10/8/607f891c-170a-48bd-a3cd-0393a5d212751728388237287-Rimeline-Women-Ethnic-Motifs-Printed-Kurta-4611728388236769-1.jpg",https://www.myntra.com/kurtas/rimeline/rimeline-ethnic-motifs-printed-pure-cotton-straight-kurta/31214175/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:33.534399Z
Shae by SASSAFRAS,Women Printed Anarkali Kurta,560,1699,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11636314/2020/3/9/c95c3439-c1d1-4ff9-bbfc-fe48d5c8c1d91583728101213-Shae-by-SASSAFRAS-Women-Blue--White-Printed-A-Line-Kurta-480-1.jpg",https://www.myntra.com/kurtas/shae+by+sassafras/shae-by-sassafras-women-blue--off-white-printed-anarkali-kurta/11636314/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:34.058298Z
Indo Era,Floral Embroidered Kurta,899,2699,(Rs. 1800 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32902377/2025/3/7/fa89880e-ff5d-4b80-a7ba-c23511c288961741331458343-Indo-Era-Green-Embroidered-Straight-Kurtas-241741331457723-1.jpg",https://www.myntra.com/kurtas/indo+era/indo-era--floral-embroidered-kurta/32902377/buy,https://www.myntra.com/women-kurtas,1,ethnic_wear_kurtas,2025-08-12T11:00:34.559435Z
