brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Sangria,Floral Printed Peplum Top,575,1799,(68% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27591698/2024/2/14/16822bfb-ba61-4dac-9b65-a9a0e3d357eb1707905943919SangriaFloralPrintedCottonPeplumTop1.jpg",https://www.myntra.com/kurtis/sangria/sangria-floral-printed-shirt-collar-sleeveless-cotton-peplum-top/27591698/buy,https://www.myntra.com/women-kurtis,1,ethnic_wear_kurtis,2025-08-12T11:00:27.684798Z
Anouk,V-Neck Short Kurti,692,2099,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28886594/2024/4/12/c5d9d5d7-36af-478a-84fb-323c39e28a791712915149334AnoukWomenFlaredSleevesKurta6.jpg",https://www.myntra.com/kurtis/anouk/anouk-v-neck-regular-sleeves-short-kurti/28886594/buy,https://www.myntra.com/women-kurtis,1,ethnic_wear_kurtis,2025-08-12T11:00:29.017608Z
Rain & Rainbow,Ethnic Motifs Printed Pure Cotton Kurti,758,1895,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20934286/2022/11/27/a8969573-6e5c-4c16-bd06-0f4fdbf89bda1669496793501Kurtis1.jpg",https://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-maroon--black-ethnic-motifs-printed-pure-cotton-kurti/20934286/buy,https://www.myntra.com/women-kurtis,1,ethnic_wear_kurtis,2025-08-12T11:00:29.434351Z
Anouk Rustic,Printed Pure Cotton Kurti,471,1430,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/35351965/2025/7/8/35b2f667-9bbd-4d99-af48-510c51f7eac31751964991180-Anouk-Rustic-Paisley-Printed-Pure-Cotton-Kurti-1517519649897-1.jpg",https://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-paisley-printed-pure-cotton-kurti/35351965/buy,https://www.myntra.com/women-kurtis,1,ethnic_wear_kurtis,2025-08-12T11:00:29.866303Z
Anouk,Floral Printed Cotton Short Kurti,560,1699,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27830474/2024/2/24/0454a00e-bbcd-49c1-8e6d-c492e71346871708759612983AnoukWomenPrintedKurta3.jpg",https://www.myntra.com/kurtis/anouk/anouk-blue-floral-printed-straight-pure-cotton-short-kurti/27830474/buy,https://www.myntra.com/women-kurtis,1,ethnic_wear_kurtis,2025-08-12T11:00:30.334582Z
Rain & Rainbow,Floral Printed Pure Cotton Kurti,990,2475,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20988242/2022/11/30/a09530ab-4f7b-4c2b-84be-69fe8edad1351669798031926Kurtis1.jpg",https://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-blue--rust-floral-printed-pure-cotton-empire-kurti/20988242/buy,https://www.myntra.com/women-kurtis,1,ethnic_wear_kurtis,2025-08-12T11:00:30.721731Z
Rain & Rainbow,Printed Cotton A-Line Kurti,798,1995,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241020/2023/3/6/1935aa1e-84dc-45c6-91a9-f6b7eae85e511678100980617Kurtis1.jpg",https://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-notch-neck-floral-printed-sequinned-pure-cotton-a-line-kurti/22241020/buy,https://www.myntra.com/women-kurtis,1,ethnic_wear_kurtis,2025-08-12T11:00:31.120693Z
AKIMIA,Embroidered Sleeveless Kurti,679,1699,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/22/WNMrlg56_377089c2d43547478290419a20a07fe8.jpg",https://www.myntra.com/kurtis/akimia/akimia-floral-embroidered-v-neck-sequinned-sleeveless-kurti/34373441/buy,https://www.myntra.com/women-kurtis,1,ethnic_wear_kurtis,2025-08-12T11:00:31.557287Z
Rain & Rainbow,Women's Printed Cotton Kurti,758,1895,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29626902/2024/5/17/65cd1c16-22a6-4057-a095-a5c0710988081715961631001Kurtis1.jpg",https://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-womens-ethnic-motifs-printed-v-neck-pure-cotton-kurti/29626902/buy,https://www.myntra.com/women-kurtis,1,ethnic_wear_kurtis,2025-08-12T11:00:32.245876Z
Anouk,V-Neck Floral Print Top,699,1999,(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32051257/2024/12/23/363258b9-c5dc-4b60-b6ea-ee915b0df2981734961337284AnoukPrintTop2.jpg",https://www.myntra.com/kurtis/anouk/anouk-women-v-neck-pleated-floral-print-top/32051257/buy,https://www.myntra.com/women-kurtis,1,ethnic_wear_kurtis,2025-08-12T11:00:32.904807Z
