brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
CUPID,Women Plus Size Track Pants,791,1799,(Rs. 1008 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22176836/2023/3/1/e4df1957-84f1-43f6-b619-23cbe5589e521677659109150PlusSizeTrackPantsForWomen1.jpg",https://www.myntra.com/lounge-pants/cupid/cupid-women-plus-size-cotton-track-pants/22176836/buy,https://www.myntra.com/women-lounge-pants,1,lingerie_loungewear_lounge_pants,2025-08-12T11:31:24.917140Z
H&M,Straight Lounge Pants,979,1399,(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/28/qz2uoMto_67146297a64043c8ba5eec1ed36281b2.jpg",https://www.myntra.com/lounge-pants/h%26m/hm-straight-lounge-pants/31438967/buy,https://www.myntra.com/women-lounge-pants,1,lingerie_loungewear_lounge_pants,2025-08-12T11:31:25.285685Z
KSHM,Women Straight Lounge Pants,2189,2189,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32025386/2024/12/21/8f68b8ea-d17b-42d9-8819-c70385012bbb1734769346033KSHMRelaxed-FitStraight-LegLoungePants1.jpg",https://www.myntra.com/lounge-pants/kshm/kshm-women-relaxed-fit-straight-leg-lounge-pants/32025386/buy,https://www.myntra.com/women-lounge-pants,1,lingerie_loungewear_lounge_pants,2025-08-12T11:31:25.627272Z
max,Pure Cotton Lounge Pant,449,499,(Rs. 50 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17682062/2022/3/30/dbcabf90-b8fd-4b79-9ea9-da2caa4f6f0f1648637203271Pyjamas1.jpg",https://www.myntra.com/lounge-pants/max/max-women-navy-blue--white-printed-pure-cotton-lounge-pant/17682062/buy,https://www.myntra.com/women-lounge-pants,1,lingerie_loungewear_lounge_pants,2025-08-12T11:31:26.411216Z
TAG 7,Straight-Leg Lounge Pant,699,1999,(Rs. 1300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/7/75TZsp4A_6c08ea3fc7eb4a3b936fe1e6b1003a60.jpg",https://www.myntra.com/lounge-pants/tag+7/tag-7-cotton-straight-leg-lounge-pant/33517032/buy,https://www.myntra.com/women-lounge-pants,1,lingerie_loungewear_lounge_pants,2025-08-12T11:31:27.820223Z
TWIN BIRDS,Textured Cotton Night Pant,799,799,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/20/Rd4Aqwoe_ff14a8125ecb4e86b55121bdd7d89c1e.jpg",https://www.myntra.com/lounge-pants/twin+birds/twin-birds-women-elephant-grey-textured-cotton-night-pant/34299350/buy,https://www.myntra.com/women-lounge-pants,1,lingerie_loungewear_lounge_pants,2025-08-12T11:31:28.749112Z
Smarty Pants,Straight-Fit Lounge Pants,584,1299,(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/21/BRaNxFAf_8a9476539c3a4d88b2da429822bca8d1.jpg",https://www.myntra.com/lounge-pants/smarty+pants/smarty-pants-women-straight-fit-mid-rise-cotton-lounge-pants-/33284947/buy,https://www.myntra.com/women-lounge-pants,1,lingerie_loungewear_lounge_pants,2025-08-12T11:31:29.437893Z
max,Women Pure Cotton Pants,499,499,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/DECEMBER/11/OqGC1jxE_07a4a1dd6ca4433e89823c6e915f875f.jpg",https://www.myntra.com/lounge-pants/max/max-women-pure-cotton-printed-mid-rise-lounge-pants/31936460/buy,https://www.myntra.com/women-lounge-pants,1,lingerie_loungewear_lounge_pants,2025-08-12T11:31:30.224429Z
MBeautiful,Women Striped Lounge Pants,799,1698,(Rs. 899 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19920672/2022/9/21/24098e11-eeae-4e64-997e-f801245efa101663759775056-Straight-Fit-101663759774281-1.jpg",https://www.myntra.com/lounge-pants/mbeautiful/mbeautiful-women-blue-striped-organic-cotton-lounge-pants/19920672/buy,https://www.myntra.com/women-lounge-pants,1,lingerie_loungewear_lounge_pants,2025-08-12T11:31:30.930050Z
Kryptic,Women Pure Cotton Lounge Pants,462,1249,(63% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24926094/2025/3/5/b5eae39c-fb0e-438e-ab04-fa47dd63ad751741182934331-Kryptic-Women-Mid-Rise-Pure-Cotton-Regular-Fit-Lounge-Pants--1.jpg",https://www.myntra.com/lounge-pants/kryptic/kryptic-women-mid-rise-pure-cotton-regular-fit-lounge-pants/24926094/buy,https://www.myntra.com/women-lounge-pants,1,lingerie_loungewear_lounge_pants,2025-08-12T11:31:31.617797Z
