brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Trendyol,Printed Pure Cotton Night suit,1979,3299,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/24/a5220vEa_213faebe64324a95a05e5ea3aa6593cf.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-printed-pure-cotton-night-suit/32909192/buy,https://www.myntra.com/women-night-suits,1,lingerie_loungewear_night_suits,2025-08-12T11:30:27.499405Z
Chemistry,Women Solid Night suit,1724,2299,(25% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16294920/2021/12/10/f3428de8-e52d-4281-81d5-b845e60a7ab91639131080919ShirtsTheIndianGarageCoMenShirtsTheIndianGarageCoMenShirtsTh6.jpg",https://www.myntra.com/night-suits/chemistry/chemistry-women-navy-blue-solid-night-suit/16294920/buy,https://www.myntra.com/women-night-suits,1,lingerie_loungewear_night_suits,2025-08-12T11:30:28.468159Z
Marks & Spencer,Checked Printed Night Suit,1274,1499,(15% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/7/FVtsGbn0_5b35a268078b4ed6b1440227a7be6040.jpg",https://www.myntra.com/night-suits/marks+%26+spencer/marks--spencer-women-checked-printed-night-suit/31237609/buy,https://www.myntra.com/women-night-suits,1,lingerie_loungewear_night_suits,2025-08-12T11:30:29.168689Z
SANSKRUTIHOMES,Women Pure Cotton Night suit,735,3199,(77% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21249554/2022/12/19/c0a815bd-3148-435e-9728-62e18eedb7211671470000648WomenCottonNightSuit1.jpg",https://www.myntra.com/night-suits/sanskrutihomes/sanskrutihomes-women-printed-pure-cotton-night-suit/21249554/buy,https://www.myntra.com/women-night-suits,1,lingerie_loungewear_night_suits,2025-08-12T11:30:29.910823Z
Bedtime story,Printed Pure Cotton Night suit,1199,1999,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/18/YpIyhdey_90a2bc5e0899453c8a97640866b1f922.jpg",https://www.myntra.com/night-suits/bedtime+story/bedtime-story-women-printed-pure-cotton-night-suit/31662380/buy,https://www.myntra.com/women-night-suits,1,lingerie_loungewear_night_suits,2025-08-12T11:30:30.448220Z
Mast & Harbour,Printed Satin Night Suit,839,2799,(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28646480/2024/5/6/e4e1915c-680a-4b84-901f-1e0a4894d3f41714987384778-Women-Nightsuits-5521714987383846-1.jpg",https://www.myntra.com/night-suits/mast+%26+harbour/mast--harbour-women-conversational-printed-satin-night-suit/28646480/buy,https://www.myntra.com/women-night-suits,1,lingerie_loungewear_night_suits,2025-08-12T11:30:31.018301Z
beebelle,Printed Cotton Night suit,649,2499,(74% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24324394/2025/1/15/6d5e8684-fdb8-4c47-9fb3-b6e0adc12b4f1736956803673-beebelle-Typography-Printed-Cotton-Night-suit-89517369568031-1.jpg",https://www.myntra.com/night-suits/beebelle/beebelle-typography-printed-cotton-night-suit/24324394/buy,https://www.myntra.com/women-night-suits,1,lingerie_loungewear_night_suits,2025-08-12T11:30:33.618891Z
Trendyol,Pure Cotton Night Suit,1619,2699,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/24/eXd3MRKy_8769f003a70f4870b9391a5ee6717a6b.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-women-printed-lapel-collar-shirt--shorts-pure-cotton-night-suit/33316675/buy,https://www.myntra.com/women-night-suits,1,lingerie_loungewear_night_suits,2025-08-12T11:30:34.436846Z
SANSKRUTIHOMES,Printed Night suit,782,2899,(73% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25749360/2023/11/3/72141e92-03ce-4474-97be-a8ae3d1adb701699003730972SANSKRUTIHOMESWomenBlueWhitePrintedNightsuit1.jpg",https://www.myntra.com/night-suits/sanskrutihomes/sanskrutihomes-floral-pure-cotton-printed-night-suit/25749360/buy,https://www.myntra.com/women-night-suits,1,lingerie_loungewear_night_suits,2025-08-12T11:30:35.099651Z
Masha,Oversized Cotton Night suit,1199,2499,(52% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29859273/2024/5/30/9af7d4da-55d0-45ad-a8c9-6cea72b6431c1717065697996MashaWomensCottonRedHeartsNightsuitPJSet1.jpg",https://www.myntra.com/night-suits/masha/masha-women-heartful-oversized-cotton-night-suit/29859273/buy,https://www.myntra.com/women-night-suits,1,lingerie_loungewear_night_suits,2025-08-12T11:30:35.430353Z
