brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Secret Wish,Pack of 2 Printed Nightdresses,899,1998,(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11902490/2020/6/8/b2c2511f-36dd-4209-8c10-935be245f61f1591593997290SecretWishWomensCottonPrintedNightyMulticoloredFreeSize-Pack1.jpg",https://www.myntra.com/nightdress/secret+wish/secret-wish-women-pack-of-2-printed-nightdresses/11902490/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:36.248062Z
Dreambe,Pack Of 4 Satin Nightdresses,483,1240,(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/26/Hkk7cvrz_9cb44a012a0945738438dcce1ed8d2cb.jpg",https://www.myntra.com/nightdress/dreambe/dreambe-pack-of-4-satin-nightdresses/35196624/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:36.820186Z
Trendyol,Printed Pure Cotton Night suit,1979,3299,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/24/a5220vEa_213faebe64324a95a05e5ea3aa6593cf.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-printed-pure-cotton-night-suit/32909192/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:37.352545Z
Dreambe,Pack Of 4 Satin Nightdresses,483,1240,(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/26/7GbXM7gX_459b0b70185f4026b12cc4cbf5fa3436.jpg",https://www.myntra.com/nightdress/dreambe/dreambe-pack-of-4-satin-nightdresses/35196618/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:38.098814Z
Dreambe,Pack Of 4 Satin Nightdresses,475,1250,(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/26/00k1j7QQ_d844f56514214bebb9c5808b611adf81.jpg",https://www.myntra.com/nightdress/dreambe/dreambe-pack-of-4-satin-nightdresses/35196631/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:39.186792Z
Chemistry,Women Solid Night suit,1724,2299,(25% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16294920/2021/12/10/f3428de8-e52d-4281-81d5-b845e60a7ab91639131080919ShirtsTheIndianGarageCoMenShirtsTheIndianGarageCoMenShirtsTh6.jpg",https://www.myntra.com/night-suits/chemistry/chemistry-women-navy-blue-solid-night-suit/16294920/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:39.907207Z
Dreambe,Pack Of 4 Satin Nightdresses,475,1250,(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/26/LCHeU4FZ_e06b53f61a584d3c8b4be731248a481a.jpg",https://www.myntra.com/nightdress/dreambe/dreambe-pack-of-4-satin-nightdresses/35196619/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:40.240553Z
Dreambe,Pack Of 4 Satin Nightdresses,483,1240,(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/26/Wi8obpId_4387ade0a3de4c97b24c46e54d4e2134.jpg",https://www.myntra.com/nightdress/dreambe/dreambe-pack-of-4-satin-nightdresses/35196616/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:40.604911Z
Bedtime story,Printed Pure Cotton Night suit,1199,1999,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/18/YpIyhdey_90a2bc5e0899453c8a97640866b1f922.jpg",https://www.myntra.com/night-suits/bedtime+story/bedtime-story-women-printed-pure-cotton-night-suit/31662380/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:41.186718Z
Dreambe,Pack Of 4 Satin Nightdresses,483,1240,(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/26/99WpalFy_e0169331165c46d9afd45aef01f8b737.jpg",https://www.myntra.com/nightdress/dreambe/dreambe-pack-of-4-satin-nightdresses/35196614/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:41.591852Z
Dreambe,Pack Of 4 Satin Nightdresses,483,1240,(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/26/RDNIal9u_ec3a986cb1804aabbf0ed52f807e8369.jpg",https://www.myntra.com/nightdress/dreambe/dreambe-pack-of-4-satin-nightdresses/35196613/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:41.964874Z
Trendyol,Pure Cotton Night Suit,1619,2699,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/24/eXd3MRKy_8769f003a70f4870b9391a5ee6717a6b.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-women-printed-lapel-collar-shirt--shorts-pure-cotton-night-suit/33316675/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:42.295113Z
Dreambe,Pack Of 4 Satin Nightdresses,483,1240,(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/26/6kqgPrh0_2ae90f656ead4e92adf9fb12ed5fb9ed.jpg",https://www.myntra.com/nightdress/dreambe/dreambe-pack-of-4-satin-nightdresses/35196612/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:42.649603Z
Dreambe,Pack Of 4 Satin Nightdresses,475,1250,(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/26/v7U3npTx_5878b07b849c43e9b65732bb16dea856.jpg",https://www.myntra.com/nightdress/dreambe/dreambe-pack-of-4-satin-nightdresses/35196606/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:43.108016Z
NEXT,Women Printed Pyjama Set,1119,2799,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33942612/2025/6/17/58ef9490-46ed-4b6f-9838-569e4fe0289f1750155997130-NEXT-Women-Night-suits-2391750155996396-1.jpg",https://www.myntra.com/night-suits/next/next-women-conversational-printed-pure-cotton-pyjama-set/33942612/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:43.508731Z
Dreambe,Pack Of 4 Satin Nightdresses,475,1250,(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/26/SgB2PkV3_baceaf93f13143ee9e0523aa06e8ae96.jpg",https://www.myntra.com/nightdress/dreambe/dreambe-pack-of-4-satin-nightdresses/35196601/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:43.915103Z
Dreambe,Pack Of 4 Satin Nightdresses,483,1240,(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/26/pNurwJlj_9c741b1769024089acd2ce907c3595aa.jpg",https://www.myntra.com/nightdress/dreambe/dreambe-pack-of-4-satin-nightdresses/35196600/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:44.386964Z
Trendyol,Women Floral Print Night suit,2339,3899,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/16/cTBtvXNx_bce716402bdc4569b843089763ea7c84.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-women-printed-night-suit/32355062/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:44.997951Z
GOLDSTROMS,Set of 2 Maxi Nightdresses,894,1398,(36% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14939034/2021/7/26/96bf17f7-a6c0-4765-9e68-2dbcf12107c11627307284793Nightdress1.jpg",https://www.myntra.com/nightdress/goldstroms/goldstroms-set-of-2-maxi-nightdresses/14939034/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:45.566101Z
GOLDSTROMS,Set of 2 Maxi Nightdresses,894,1398,(36% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14939010/2021/7/26/d0573be9-4376-4fea-97f4-94e21ee4eb601627307305576Nightdress1.jpg",https://www.myntra.com/nightdress/goldstroms/goldstroms-set-of-2-maxi-nightdresses/14939010/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:46.174678Z
Trendyol,Shirt Collar Night Suit,2099,3499,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/24/Gkk6TgKB_4a3abfffef484187ad7836b0552301a8.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-women-printed-shirt-collar-night-suit-/33316478/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:46.632220Z
SEPHANI,Women Printed Nightdress,959,1999,(52% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/20/y9r0hWif_6493f4f93db4476987d77fc63a7b9e9e.jpg",https://www.myntra.com/nightdress/sephani/sephani-women-printed-maxi-nightdress/31686739/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:47.133188Z
PURPLE FLAUNT,Striped Pure Cotton Nightdress,896,1299,(31% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30038183/2024/6/26/c73215d7-3302-4e8a-92eb-6bb04ea35d621719372968588PURPLEFLAUNTStripedNightdress1.jpg",https://www.myntra.com/nightdress/purple+flaunt/purple-flaunt-v-neck-short-sleeves-striped-pure-cotton-maternity-nightdress/30038183/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:47.505674Z
Trendyol,Night Suit,1619,2699,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/13/WjWl9Rlu_f2c58402b81a4360933f1cb4da3b9cda.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-women-self-design-night-suit/33182855/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:47.852560Z
Secret Wish,Maternity Kaftan Nightdress,999,2499,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28885192/2024/4/12/dc36ed9b-0621-4a6c-8e0a-ca8bf752bdd81712909330964SecretWishBlackGoldenFloralRayonMaternityKaftan1.jpg",https://www.myntra.com/nightdress/secret+wish/secret-wish-floral-printed-v-neck-maxi-maternity-kaftan-nightdress/28885192/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:48.181434Z
max,Printed Pure Cotton Nightdress,649,799,(Rs. 150 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29400902/2024/5/7/40b24e80-53e6-41d4-b52b-8aa7402a4a6c1715078340218WomenHeartPrintedNightgown1.jpg",https://www.myntra.com/nightdress/max/max-printed-pure-cotton-maxi-nightdress/29400902/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:48.554031Z
Trendyol,Printed Pure Cotton Night Suit,1104,1699,(35% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29699052/2024/5/22/9a2d6a78-3549-4129-b76b-a193dac20e2f1716357090105Nightdress1.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-conversational-printed-pure-cotton-night-suit/29699052/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:49.037995Z
max,Printed Nightdress,599,749,(Rs. 150 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18335382/2022/5/19/3e3bd706-881c-4474-83e1-84536338792b1652962238778maxWomenTealNightdress1.jpg",https://www.myntra.com/nightdress/max/max-teal-printed-maxi-nightdress/18335382/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:49.526854Z
Boston Club,Printed Nightdress,721,1899,(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18870056/2022/7/7/151ca9b3-74d4-4552-9143-17b9f680b9971657194302177-Boston-Club-Black-Printed-Maxi-Nightdress-2121657194302116-7.jpg",https://www.myntra.com/nightdress/boston+club/boston-club-black-printed-maxi-nightdress/18870056/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:49.892961Z
Trendyol,Women Pure Cotton Night suit,1379,2299,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/13/z0fateSm_9488e37234f64546af564da3167dcd6f.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-women-round-neck-pure-cotton-night-suit/33183073/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:50.391686Z
Claura,Women Printed Nightdress,702,1899,(63% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21829244/2023/2/3/90416139-b43d-4461-8341-711778843ace1675424880407ClauraRustPrintedMaxiNightdress1.jpg",https://www.myntra.com/nightdress/claura/claura-women-floral-printed-kaftan-nightdress/21829244/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:50.791750Z
max,Floral Printed Nightgown,699,899,(Rs. 200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/2/58MUFUCY_16962072754a49b0ad907151643513ba.jpg",https://www.myntra.com/nightdress/max/max-women-floral-printed-nightgown/30448679/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:51.340420Z
Trendyol,Women Printed Night suit,2639,4399,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/28/XcoYFFka_5d1a562715a4473fba8ae5ad348cf6f0.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-women-lapel-collar-printed-night-suit/30746429/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:51.788018Z
max,Printed Cotton Maxi Nightdress,649,799,(Rs. 150 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27757804/2024/2/21/3f18fdf4-b220-4c9a-b601-2e720809d32b1708535499129WomenFloralPrintedNightgown1.jpg",https://www.myntra.com/nightdress/max/max-floral-printed-pure-cotton-maxi-nightdress/27757804/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:52.151574Z
Zeyo,Cotton Maternity Nightdress,784,2179,(64% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13059966/2020/12/15/4adfa153-76f8-4bdc-ac7e-1de21b5c88d81608046337196-Zeyo-Women-Burgundy-Printed-Feeding-Nightdress-1821608046335-1.jpg",https://www.myntra.com/nightdress/zeyo/zeyo-women-burgundy-printed-cotton-maternity-nightdress/13059966/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:52.599291Z
Trendyol,Women Night suit,2339,3899,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27678694/2024/2/19/84521e25-75a3-4afa-a367-e6c0091552911708324072820Nightsuits1.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-women-striped-night-suit/27678694/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:53.079669Z
AV2,Printed Maternity Nightdress,799,2599,(Rs. 1800 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29238800/2024/4/29/995ab43d-56f6-4da4-b488-d4800b2c45d01714375643758Av2FeedingNighty1.jpg",https://www.myntra.com/nightdress/av2/av2-printed-pure-cotton-maternity-maxi-nightdress/29238800/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:53.639724Z
max,Floral Printed Nightgown,699,899,(Rs. 200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30140948/2024/7/6/d81855a3-0826-4bd8-a1e8-3759199f4d541720253946076maxPrintedMaxiNightdress1.jpg",https://www.myntra.com/nightdress/max/max-women-floral-printed-nightgown/30140948/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:54.015703Z
Zivame,Women Floral Print Night suit,1017,1695,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/22/V8ckQzYj_dab415b4f0c64d2c9ba1d3f1ab84b047.jpg",https://www.myntra.com/night-suits/zivame/zivame-women-printed-night-suit/35883253/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:54.503314Z
AV2,Women Solid Nightdress with Robe,599,1799,(Rs. 1200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18259700/2022/5/13/30e7007d-7a33-4f35-ae30-831ba79312691652430176884AV2WomenBlueNightdress1.jpg",https://www.myntra.com/nightdress/av2/av2-women-blue-solid-nightdress-with-robe/18259700/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:55.160440Z
Secret Wish,Maternity Kaftan Nightdress,999,2499,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25644548/2023/10/26/ea5bd8c4-7c46-4715-b3cc-fbc3c9b4511a1698336561904SecretWishBrownPrintedMaxiNightdress1.jpg",https://www.myntra.com/nightdress/secret+wish/secret-wish-floral-printed-maternity-kaftan-nightdress/25644548/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:55.610915Z
Trendyol,Shoulder Straps Top & Shorts,1739,2899,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27024228/2024/1/22/ac5b55fc-6343-4649-83d6-ee009d2a4a4d1705886158657TrendyolNightWearTopShortsSet1.jpg",https://www.myntra.com/night-suits/trendyol/trendyol-shoulder-straps-top-with-shorts/27024228/buy,https://www.myntra.com/women-nightdresses,1,lingerie_loungewear_nightdresses,2025-08-12T11:30:56.136452Z
