brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Tokyo Talkies,Pure Cotton Shirt With Shorts,819,2949,(Rs. 2130 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/27/Ulv1vfAU_d9960e76a177439183766d93909dec74.jpg",https://www.myntra.com/co-ords/tokyo+talkies/tokyo-talkies-women-floral-printed-shirt-with-shorts-coords/32508842/buy,https://www.myntra.com/women-co-ords,1,western_wear_co_ords,2025-08-12T11:03:42.309463Z
Past Modern,Shirt With Shorts Co-Ords,2475,3300,(25% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/19/EGGXBqb5_6e147846e7bb47a9b5cbe8c8520ba5d0.jpg",https://www.myntra.com/co-ords/past+modern/-past-modern-shirt-with-shorts-coords/33699332/buy,https://www.myntra.com/women-co-ords,1,western_wear_co_ords,2025-08-12T11:03:43.063451Z
Antheaa,Floral Tunic & Sharara,1999,3999,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/8/DcIZE1aN_d37b607c41b14dddbea3112a7be65f8e.jpg",https://www.myntra.com/co-ords/antheaa/antheaa-floral-printed-square-neck-tunic--sharara-/30532403/buy,https://www.myntra.com/women-co-ords,1,western_wear_co_ords,2025-08-12T11:03:44.070528Z
Prakrti,Women Printed Coords Set,2999,2999,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29573544/2024/5/16/50a26975-dc54-4dd1-bb12-1ddf619d1abc1715860069348SmallButiPrintCottonNightSuit1.jpg",https://www.myntra.com/co-ords/prakrti/prakrti-women-printed-cotton-top-with-trousers-coords-set/29573544/buy,https://www.myntra.com/women-co-ords,1,western_wear_co_ords,2025-08-12T11:03:44.606182Z
Alamode By Akanksha,Set of 3 Trexa Summer Coords,3849,4299,(Rs. 450 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/7/S2i9TmMZ_d4040017ae944014a1a1702fa4a193a4.jpg",https://www.myntra.com/co-ords/alamode+by+akanksha/alamode-by-akanksha-set-of-3-trexa-summer-coords/34008420/buy,https://www.myntra.com/women-co-ords,1,western_wear_co_ords,2025-08-12T11:03:45.405986Z
Trendyol,Boucle Self Design Co-Ords,4319,7199,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/20/JFsx9pkS_da6f4ce00b4e42c891b2fd91b2cd3d99.jpg",https://www.myntra.com/co-ords/trendyol/trendyol-boucle-self-design-round-neck-sweater-and-skirt/32406788/buy,https://www.myntra.com/women-co-ords,1,western_wear_co_ords,2025-08-12T11:03:46.043254Z
Contemponari,Top & Palazzos Coords,1995,3990,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29450496/2025/1/21/ac19271d-3613-412c-97cc-4a7746d394ed1737463270333-Contemponari-Printed-Top--Palazzos-Coords-1841737463269891-1.jpg",https://www.myntra.com/co-ords/contemponari/contemponari-printed-top--palazzos-coords/29450496/buy,https://www.myntra.com/women-co-ords,1,western_wear_co_ords,2025-08-12T11:03:46.694100Z
Alamode By Akanksha,Set of 3 Trexa Summer Coords,3849,4299,(Rs. 450 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/7/8ugbeX9s_201cf9bdb3874178a90efb078647ece6.jpg",https://www.myntra.com/co-ords/alamode+by+akanksha/alamode-by-akanksha-set-of-3-trexa-summer-coords/34008409/buy,https://www.myntra.com/women-co-ords,1,western_wear_co_ords,2025-08-12T11:03:47.107164Z
Antheaa,Embellished Co-Ords,2579,4299,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/8/HS5WB2mM_5143886c12354e81a9e66999bc6b7198.jpg",https://www.myntra.com/co-ords/antheaa/antheaa-embellished-shawl-neck-jacket-with-skirt--/30532387/buy,https://www.myntra.com/women-co-ords,1,western_wear_co_ords,2025-08-12T11:03:47.563169Z
Global Desi,Printed Puffed Sleeves Coords,1746,4990,(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29533564/2024/5/14/5ff54bdf-f98f-40e0-a00c-c133d362cfdb1715678748922ClothingSet1.jpg",https://www.myntra.com/co-ords/global+desi/global-women-desi-printed-shirt-with-trousers-coords/29533564/buy,https://www.myntra.com/women-co-ords,1,western_wear_co_ords,2025-08-12T11:03:47.993232Z
