brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Stylum,Floral Print Fit & Flare Maxi Dress,739,2899,(Rs. 2160 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/26/MVdZamLK_86fac207f08047c6bae19c8e0ba5fc5f.jpg",https://www.myntra.com/dresses/stylum/stylum-floral-print-fit--flare-maxi-dress/30722825/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:47.097281Z
OCTICS,Floral Fit & Flare Dress,945,4299,(78% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28688510/2024/12/27/bb058407-d64c-43dd-a8ae-ac6cba92c7641735308885503-OCTICS-Floral-Printed-Fit--Flare-Dress-1081735308884799-1.jpg",https://www.myntra.com/dresses/octics/octics-floral-printed-fit--flare-dress/28688510/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:47.622141Z
MANGO,Extended Sleeves A-Line Dress,4053,5790,(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/25/y2oY1kwQ_f5495ce2ac744f47a83a7e08faa8692c.jpg",https://www.myntra.com/dresses/mango/mango-solid-extended-sleeves-asymmetric-hem-a-line-midi-dress-with-belt/32798336/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:48.382678Z
anayna,Women Fit & Flared Dresses,883,3840,(77% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/24/m49Z9zY8_fbc09ac679e748d9b5bc5f37770eaa94.jpg",https://www.myntra.com/dresses/anayna/anayna-women-checked-cotton-fit--flare-maxi-dresses/31067543/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:48.832289Z
max,Schiffli Wrap Dress,839,1199,(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30270599/2024/7/21/547346c4-a9c8-4b5e-9664-cdfef904c9621721556490503maxDress1.jpg",https://www.myntra.com/dresses/max/max-urbn-women-schiffli-tiered-dress/30270599/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:49.491601Z
Label Ritu Kumar,Crepe Maxi Dress,1770,5900,(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22374646/2023/3/23/f134b610-24a2-4032-a287-adaaeb634e381679551494944-Label-Ritu-Kumar-Women-Dresses-6361679551494387-1.jpg",https://www.myntra.com/dresses/label+ritu+kumar/label-ritu-kumar-crepe-pleated-maxi-dress/22374646/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:50.003617Z
ZUMMER,Empire Puff Sleeve Dress,1259,4699,(Rs. 3440 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/20/pH2YTqqh_90b907bc32b3409e874fbca0b02cf194.jpg",https://www.myntra.com/dresses/zummer/zummer-cotton-floral-embroidered-puff-sleeve-empire-dress/32860044/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:51.238217Z
Claura,Women Fit & Flare Midi Dress,724,2899,(75% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/21/6yluxQL3_d01b23632c1c409ba30c65d6ecb9ca15.jpg",https://www.myntra.com/dresses/claura/claura-women-floral-printed--fit--flare-midi-dress/31375705/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:51.867580Z
MANGO,Round Neck Midi A-Line Dress,5790,5790,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/17/MAQas6q3_0bebb1652a8046269cf21113c73822d8.jpg",https://www.myntra.com/dresses/mango/mango-round-neck-midi-a-line-dress/34682951/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:52.600671Z
Stylum,Floral Print Fit & Flare Maxi Dress,739,2899,(Rs. 2160 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/26/o3koKWHF_97d3912bdd2a4e2fa29356d5aaf6c21d.jpg",https://www.myntra.com/dresses/stylum/stylum-floral-print-fit--flare-maxi-dress/30722822/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:53.082725Z
PURPLE FLAUNT,Striped A-Line Midi Dress,1133,1799,(37% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33572641/2025/4/23/39e5b221-6369-4e28-b7e2-ca5219d2ac181745404340136-PURPLE-FLAUNT-Women-Striped-Maternity-A-Line-Midi-Dress-4517-1.jpg",https://www.myntra.com/dresses/purple+flaunt/purple-flaunt-women-striped-maternity-a-line-midi-dress/33572641/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:53.471430Z
Trendyol,Women Bodycon Mini Dress,1859,3099,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/14/gyWZQt2U_5990859ecf394946b0981830ec60016c.jpg",https://www.myntra.com/dresses/trendyol/trendyol-women-solid-bodycon-mini-dress/34159116/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:53.994213Z
StyleCast x Revolte,Bodycon Maxi Dress,1374,2749,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/22/Z6J8M8fB_0ee8f0f6cfb94b32afb9595b152fb9dc.jpg",https://www.myntra.com/dresses/stylecast+x+revolte/stylecast-x-revolte-shoulder-straps-sleeveless-bodycon-maxi-dress/28619810/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:54.551901Z
SASSAFRAS,Denim Mini Shirt Dress,935,2399,(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27558972/2024/2/13/6eabdfa4-31c4-4a74-b5be-44727009a65a1707845484304SASSAFRASDenimShirtDress1.jpg",https://www.myntra.com/dresses/sassafras/sassafras-shirt-collar-denim-mini-shirt-dress/27558972/buy,https://www.myntra.com/women-dresses,1,western_wear_dresses,2025-08-12T10:15:55.099159Z
