brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Tokyo Talkies,Women Solid Denim Jacket,989,2549,(Rs. 1560 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2019/11/8/82dc7c4c-4b6d-4c1c-9878-fc9a0fa032f51573191596958-1.jpg",https://www.myntra.com/jackets/tokyo+talkies/tokyo-talkies-women-olive-green-solid-denim-jacket/10946032/buy,https://www.myntra.com/women-jackets,1,western_wear_jackets,2025-08-12T11:18:48.580184Z
H&M,Denim Jacket,1609,2299,(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/4/A6YJ6yhM_74516f0788304b3a9708bb0d42d9f531.jpg",https://www.myntra.com/jackets/h%26m/hm-denim-jacket/33043725/buy,https://www.myntra.com/women-jackets,1,western_wear_jackets,2025-08-12T11:18:48.863037Z
CAVA,Sculptor Jacket,1689,2599,(35% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/1/OvPeGWqJ_aa730ca310e54f08a267475c0cac97e2.jpg",https://www.myntra.com/jackets/cava/cava-pink-sculptor-jacket/32598379/buy,https://www.myntra.com/women-jackets,1,western_wear_jackets,2025-08-12T11:18:49.154152Z
HRX by Hrithik Roshan,Running Sporty Jacket,699,1999,(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28986068/2024/8/13/ee49c2ae-4d93-42a7-9cf0-a1ca4ae1528d1723546681759-HRX-by-Hrithik-Roshan-Women-Jackets-9541723546681107-1.jpg",https://www.myntra.com/jackets/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-mock-collar-rapid-dry-antimicrobial-running-sporty-jacket/28986068/buy,https://www.myntra.com/women-jackets,1,western_wear_jackets,2025-08-12T11:18:49.435227Z
COLOR CAPITAL,Women Solid Sporty Jacket,590,1998,(Rs. 1408 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32335736/2025/1/14/9352d3a6-bb1d-4e8e-9710-170b9ec8592c1736839959856COLORCAPITALWomenPolyesterBomberJacket1.jpg",https://www.myntra.com/jackets/color+capital/color-capital-women-solid-zip-detail-long-sleeves-casual-sporty-jacket/32335736/buy,https://www.myntra.com/women-jackets,1,western_wear_jackets,2025-08-12T11:18:49.715686Z
CAVA,Mandarin Collar Sporty Jacket,1679,2999,(44% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27043504/2024/9/2/0837191f-69b8-43c9-9a38-fe745a19d04a1725265088013-CAVA-Mandarin-Collar-Cropped-Sporty-Sculptor-Jacket-41317252-1.jpg",https://www.myntra.com/jackets/cava/cava-black-sculptor-jacket/27043504/buy,https://www.myntra.com/women-jackets,1,western_wear_jackets,2025-08-12T11:18:50.006867Z
ATHLISIS,Lightweight Gym Sporty Jacket,883,2849,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29235146/2024/4/29/61d5c0fe-4e8a-4865-8cdb-21ebe87176521714378240086ATHLISISWomenLightweightCropTrainingorGymSportyJacket1.jpg",https://www.myntra.com/jackets/athlisis/athlisis-lightweight-dry-fit-gym-sporty-jacket/29235146/buy,https://www.myntra.com/women-jackets,1,western_wear_jackets,2025-08-12T11:18:50.312061Z
HRX by Hrithik Roshan,Running Sporty Jacket,699,1999,(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28985872/2024/11/11/052c4382-a5c6-4a74-925d-fff08235c4711731304199160-HRX-by-Hrithik-Roshan-Women-Jackets-1221731304198527-1.jpg",https://www.myntra.com/jackets/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-rapid-dry-antimicrobial-finish-running-sporty-jacket/28985872/buy,https://www.myntra.com/women-jackets,1,western_wear_jackets,2025-08-12T11:18:50.604003Z
Trendyol,Women Solid Tailored Jacket,3839,6399,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/22/f16IcnF6_25b4906e906e4e1e96e932002dc4e15b.jpg",https://www.myntra.com/jackets/trendyol/trendyol-women-notch-lapel-solid-casual-tailored-jacket/33300758/buy,https://www.myntra.com/women-jackets,1,western_wear_jackets,2025-08-12T11:18:50.952096Z
ATHLISIS,Training or Gym Sporty Jacket,883,2849,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26817166/2024/1/7/c78210f7-b237-4c94-bcbc-5d72bfdbbd671704614043252ATHLISISWomenBlackLightweightTrainingorGymSportyJacket1.jpg",https://www.myntra.com/jackets/athlisis/athlisis-lightweight-dry-fit-training-or-gym-sporty-jacket/26817166/buy,https://www.myntra.com/women-jackets,1,western_wear_jackets,2025-08-12T11:18:51.285735Z
