brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Stylecast X Kotty,Women Regular Fit Jeans,474,2499,(81% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/28/dnsupoa6_4a1b30251cca4e218cd480dfdf4dfb15.jpg",https://www.myntra.com/jeans/stylecast+x+kotty/stylecast-x-kotty-women-regular-fit-high-rise-jeans/34529796/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:43.757808Z
Kotty,Women Straight Fit High-Rise Jeans,424,2499,(83% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/9/BODGXToQ_d80eb7c251a141d3982bbf38a94f3a6d.jpg",https://www.myntra.com/jeans/kotty/kotty-women-jean-straight-fit-high-rise-stretchable-jeans/31255351/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:44.739636Z
Bewakoof,Women Straight Fit Cargo Jeans,1699,3399,(Rs. 1700 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28074736/2025/5/29/a8893f28-c401-4ff4-8851-c8feb9e291b51748526088798-Bewakoof-Women-Straight-Fit-High-Rise-Cotton-Cargo-Jeans-604-1.jpg",https://www.myntra.com/jeans/bewakoof/bewakoof-women-straight-fit-high-rise-cotton-cargo-jeans/28074736/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:45.336637Z
DOLCE CRUDO,Women Wide Leg High-Rise Jeans,1298,3245,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31023693/2024/10/1/8c4ce12c-9d4a-4557-a447-52bcc2832b781727770612243-DOLCE-CRUDO-Women-Wide-Leg-High-Rise-Light-Fade-Stretchable--1.jpg",https://www.myntra.com/jeans/dolce+crudo/dolce-crudo-wide-leg-high-rise-regular-length-stretchable-shaping-denim-jeans/31023693/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:45.946796Z
Aadvi Fashion,Baggy Fit Heavy Fade Jeans,789,2999,(Rs. 2210 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/7/XoaWsRwt_9e177e8961b14bf28251d28b441eb5f6.jpg",https://www.myntra.com/jeans/aadvi+fashion/aadvi-fashion-women-comfort-baggy-fit-heavy-fade-stretchable-denim-jeans/35476700/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:46.571601Z
Calvin Klein Jeans,Women Relaxed Fit Jeans,7199,11999,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/9/fQSwmJWi_01f968d3de804c46ab9229f2906c333d.jpg",https://www.myntra.com/jeans/calvin+klein+jeans/calvin-klein-jeans-women-relaxed-fit-light-fade-stretchable-jeans/34047684/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:47.094436Z
Roadster,Women Wide Leg High-Rise Jeans,659,1999,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26272840/2024/2/1/8a20b96b-91ca-4e82-9a24-55037fcbbbe61706769412504-Roadster-Women-Jeans-6171706769412029-1.jpg",https://www.myntra.com/jeans/roadster/the-roadster-lifestyle-co-women-wide-leg-high-rise-stretchable-jeans/26272840/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:47.741012Z
DOLCE CRUDO,Women Wide Leg Jeans,1199,2399,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31695805/2024/11/30/079fe24d-7451-4158-bcb5-604ffa1800ad1732943095140-DOLCE-CRUDO-Women-Wide-Leg-Light-Fade-Stretchable-Jeans-3821-1.jpg",https://www.myntra.com/jeans/dolce+crudo/dolce-crudo-women-wide-leg-light-fade-stretchable-jeans/31695805/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:48.723041Z
Trendyol,Mid-Rise Slim Fit Jeans,2579,4299,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/22/1dnHvDpM_ebaabb62239449f88c976a1542d33cd6.jpg",https://www.myntra.com/jeans/trendyol/trendyol-women-mid-rise-slim-fit-clean-look-light-fade-jeans/33300995/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:49.556892Z
Roadster,Women Pure Cotton Jeans,987,2599,(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29203550/2025/4/9/9bb54bf9-59df-4f6c-88a8-0aa2d76620c31744207165972-The-Roadster-Lifestyle-Co-Women-Pure-Cotton-Straight-Fit-Hig-1.jpg",https://www.myntra.com/jeans/roadster/the-roadster-lifestyle-co-women-pure-cotton-straight-fit-high-rise-no-fade-jeans/29203550/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:51.057852Z
Aadvi Fashion,Women Baggy Jeans,698,2899,(Rs. 2201 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/8/88868JLu_0d6fbba9f79a4014bc265f427203bca9.jpg",https://www.myntra.com/jeans/aadvi+fashion/aadvi-fashion-women-jean-baggy-high-rise-stretchable-jeans/32687924/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:54.470300Z
Trendyol,Women Mid-Rise Jeans,2759,4599,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/22/vNbFpOe7_71c4408b09b7488aa6e2b24e51ec116b.jpg",https://www.myntra.com/jeans/trendyol/trendyol-women-highly-distressed-heavy-fade-jeans/33300980/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:55.156526Z
Aadvi Fashion,Women High-Rise Wide Leg Jeans,698,2999,(Rs. 2301 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/24/6Em81D3D_0eab9fe2f2b848a2aae531660fc7f420.jpg",https://www.myntra.com/jeans/aadvi+fashion/aadvi-fashion-women-original-high-rise-stretchable-wide-leg-jeans/32481893/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:56.042354Z
SASSAFRAS,Women Cotton High-Rise Jeans,1011,2199,(54% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/6/0cgXocrZ_e3a44707f3a44438b16aedf7241401a2.jpg",https://www.myntra.com/jeans/sassafras/sassafras-women-cotton-comfort-high-rise-jeans/32662507/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:56.706233Z
MANGO,Women Cropped Balloon Jeans,3790,3790,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/27/0A9E0uBe_90f85dbef29448b492fce616077bcac6.jpg",https://www.myntra.com/jeans/mango/mango-women-mid-rise-light-fade-pure-cotton-cropped-balloon-fit-jeans-with-belt/34022450/buy,https://www.myntra.com/women-jeans,1,western_wear_jeans,2025-08-12T10:15:57.239463Z
