brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Globus,Printed Basic Jumpsuit,1367,1899,(28% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29084030/2024/4/20/62895d3a-721c-48de-b4d3-8df156b633101713593211115GlobusWomenPinkPrintedWrapV-NeckBeltedLongJumpsuit1.jpg",https://www.myntra.com/jumpsuit/globus/globus-printed-wrap-neck-belted-flared-leg-fusion-jumpsuit/29084030/buy,https://www.myntra.com/women-jumpsuits,1,western_wear_jumpsuits,2025-08-12T11:04:22.421365Z
ESPYR By Tokyo Talkies,Women Basic Jumpsuit,779,2549,(Rs. 1770 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/1/H2S4BVDl_c0812b9caf0348aebed461d2a917a837.jpg",https://www.myntra.com/jumpsuit/espyr+by+tokyo+talkies/espyr-by-tokyo-talkies--women-solid-waist-tie-ups-basic-jumpsuit/31183203/buy,https://www.myntra.com/women-jumpsuits,1,western_wear_jumpsuits,2025-08-12T11:04:22.739410Z
Trendyol,Printed Basic Jumpsuit,3239,5399,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27114486/2024/1/22/a3052950-63c0-42f6-923c-63265ee89c6b1705926610386Rompers1.jpg",https://www.myntra.com/jumpsuit/trendyol/trendyol-geometric-printed-basic-jumpsuit/27114486/buy,https://www.myntra.com/women-jumpsuits,1,western_wear_jumpsuits,2025-08-12T11:04:23.049346Z
QUIERO,Printed Once Upon a Sleeve Jumpsuit,1031,3969,(74% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19319382/2022/8/17/2b939d43-3f1d-4a09-bdba-01d07485658b1660714904719-QUIERO-Women-Jumpsuit-5021660714904267-1.jpg",https://www.myntra.com/jumpsuit/quiero/quiero-women-elegant-brown-printed-once-upon-a-sleeve-jumpsuit/19319382/buy,https://www.myntra.com/women-jumpsuits,1,western_wear_jumpsuits,2025-08-12T11:04:23.354094Z
SASSAFRAS,Floral Front Tie Knot Playsuit,696,1699,(59% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22924282/2023/4/28/c77d7644-4b57-41f0-b6a7-1b2f870808a41682634197820Jumpsuit1.jpg",https://www.myntra.com/jumpsuit/sassafras/sassafras-orange--green-floral-printed-front-tie-knot-playsuit/22924282/buy,https://www.myntra.com/women-jumpsuits,1,western_wear_jumpsuits,2025-08-12T11:04:23.701138Z
Trendyol,Women Striped Basic Jumpsuit,3639,5599,(35% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/21/avuipkzC_1dccf14e844449078e38878db08705c5.jpg",https://www.myntra.com/jumpsuit/trendyol/trendyol-women-striped-basic-jumpsuit/32407165/buy,https://www.myntra.com/women-jumpsuits,1,western_wear_jumpsuits,2025-08-12T11:04:24.206140Z
StyleCast,Striped Basic Jumpsuit,1484,3299,(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/23/Ly99ZGSH_7ab5188d33bd4d969c1e12bbeefc38aa.jpg",https://www.myntra.com/jumpsuit/stylecast/stylecast-blue-striped-waist-tie-ups-basic-jumpsuit/27811656/buy,https://www.myntra.com/women-jumpsuits,1,western_wear_jumpsuits,2025-08-12T11:04:24.537235Z
QUIERO,Printed Culotte Jumpsuit,1415,4289,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25951590/2023/12/5/e8d72b01-9ac5-4984-aa7a-be6f9f7c6fba1701759981377-QUIERO-Women-Jumpsuit-7701701759981062-1.jpg",https://www.myntra.com/jumpsuit/quiero/quiero-floral-printed-culotte-jumpsuit/25951590/buy,https://www.myntra.com/women-jumpsuits,1,western_wear_jumpsuits,2025-08-12T11:04:24.883750Z
Virgio,Sleeveless Cotton Jumpsuit,1253,1790,(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/30/JppPiHN9_dac9e04bda9547278fb01d1868537015.jpg",https://www.myntra.com/jumpsuit/virgio/virgio-women-cotton-v-neck-mini-length-checks-sleeveless-playsuit/31176496/buy,https://www.myntra.com/women-jumpsuits,1,western_wear_jumpsuits,2025-08-12T11:04:25.247426Z
Anouk,Printed Culotte Jumpsuit,944,2699,(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/JULY/29/x8SrHB4D_9148d7ad9b8a4da5a7d097df11351816.jpg",https://www.myntra.com/jumpsuit/anouk/anouk-ethnic-motifs-printed-sleeveless-waist-tie-ups-culotte-jumpsuit/30381469/buy,https://www.myntra.com/women-jumpsuits,1,western_wear_jumpsuits,2025-08-12T11:04:25.594153Z
