brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
VOLTEDGE,Oversized Cotton Casual Shirt,1299,1999,(35% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/21/wcufGgIe_8d9da93e8fb3443cb4f370b777fdf47a.jpg",https://www.myntra.com/shirts/voltedge/voltedge-women-oversized-opaque-striped-shirt/32894799/buy,https://www.myntra.com/women-shirts,1,western_wear_shirts,2025-08-12T10:46:18.498807Z
Roadster,Oversized Casual Shirt,557,1799,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30256916/2024/9/18/25a3199a-83d7-460f-bde7-5c159e6eb4c81726637433682-Womens-Oversize-Long-Sleeve-Seersucker-Stripe-Shirt-23017266-1.jpg",https://www.myntra.com/shirts/roadster/roadster-striped-oversized-casual-shirt/30256916/buy,https://www.myntra.com/women-shirts,1,western_wear_shirts,2025-08-12T10:46:18.915069Z
Trendyol,Women Solid Casual Shirt,1679,2799,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/DECEMBER/12/Tbxh51Ru_c7ffecd43bb4442ba08e2154ade956e5.jpg",https://www.myntra.com/shirts/trendyol/trendyol-women-spread-collar-solid-cotton-casual-shirt/30499185/buy,https://www.myntra.com/women-shirts,1,western_wear_shirts,2025-08-12T10:46:19.630517Z
DL Woman,Oversized Casual Shirt,923,2799,(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26171658/2025/4/9/ec069d5d-37ab-45c2-9458-0ea9bd38fef61744210336705-DL-Woman-Oversized-Crepe-Casual-Shirt-2891744210336231-1.jpg",https://www.myntra.com/shirts/dl+woman/dl-woman-oversized-crepe-casual-shirt/26171658/buy,https://www.myntra.com/women-shirts,1,western_wear_shirts,2025-08-12T10:46:20.059584Z
Roadster,Women Self Design Casual Shirt,650,2099,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/DECEMBER/3/nkS7B1gV_a5f44d5f250a4cb08fbc61385dd76dc9.jpg",https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-women-spread-collar-textured-casual-shirt/31820702/buy,https://www.myntra.com/women-shirts,1,western_wear_shirts,2025-08-12T10:46:20.545025Z
FableStreet,Long Sleeves Shirt,1871,2495,(25% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/12/fw9Fb1xZ_26671dcf8f8c4437a2b03eb009f29f32.jpg",https://www.myntra.com/shirts/fablestreet/fablestreet-long-sleeves-shirt/35580975/buy,https://www.myntra.com/women-shirts,1,western_wear_shirts,2025-08-12T10:46:21.198077Z
Roadster,Women Striped Casual Shirt,650,2099,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/17/4j0E1s3p_55f7c70b17db41bd9884527778e6cd33.jpg",https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-women-cuban-collar-vertical-striped-cotton-boxy-casual-shirt/31012271/buy,https://www.myntra.com/women-shirts,1,western_wear_shirts,2025-08-12T10:46:22.535841Z
Popwings,Women Solid Casual Shirt,559,1999,(72% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/5/ra6nXki0_65829ab1cb0140ebacf3508e711ab58a.jpg",https://www.myntra.com/shirts/popwings/popwings-women-comfort-spread-collar-solid-satin-casual-shirt/31533835/buy,https://www.myntra.com/women-shirts,1,western_wear_shirts,2025-08-12T10:46:23.114089Z
Funday Fashion,Spread Collar Casual Shirt,356,1599,(Rs. 1243 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22575624/2023/3/30/513113aa-24ba-4482-8ebe-eb205955ad031680117230702FundayFashionWomenBlackBoxyOpaqueCasualShirt1.jpg",https://www.myntra.com/shirts/funday+fashion/funday-fashion-boxy-fit-spread-collar-long-sleeves-casual-shirt/22575624/buy,https://www.myntra.com/women-shirts,1,western_wear_shirts,2025-08-12T10:46:24.254858Z
Style Quotient,Smart Striped Casual Shirt,704,1499,(53% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20676814/2022/11/24/fb308213-de25-4736-a522-f6729ca0bf111669292510091-Style-Quotient-Women-Blue-Smart-Striped-Casual-Shirt-5171669-1.jpg",https://www.myntra.com/shirts/style+quotient/style-quotient-women-blue-smart-striped-casual-shirt/20676814/buy,https://www.myntra.com/women-shirts,1,western_wear_shirts,2025-08-12T10:46:24.680467Z
