brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
DOLCE CRUDO,Skorts Above Knee Denim Skirt,1379,2299,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/34763112/2025/6/13/dda16e43-9ad4-4098-a6da-bd291ccc0d661749824095693-DOLCE-CRUDO-High-Rise-Skorts-Above-Knee-Distress-Denim-Skirt-1.jpg",https://www.myntra.com/shorts/dolce+crudo/dolce-crudo-high-rise-skorts-above-knee-distress-denim-skirt/34763112/buy,https://www.myntra.com/women-shorts,1,western_wear_shorts,2025-08-12T11:03:12.344145Z
HRX by Hrithik Roshan,Women Training Shorts,344,1499,(77% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17254578/2022/8/4/4d037e36-c897-4e03-a5da-5aaa1c09464a1659594537693-HRX-By-Hrithik-Roshan-Training-Women-Jet-Black-Rapid-Dry-Sol-4.jpg",https://www.myntra.com/shorts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-training-women-jet-black-rapid-dry-solid-training-shorts/17254578/buy,https://www.myntra.com/women-shorts,1,western_wear_shorts,2025-08-12T11:03:12.757588Z
Trendyol,Women Denim Shorts,1979,3299,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/24/ohPpYvpA_96c79bfb51b44eb6a6fd3e290ca9c9d8.jpg",https://www.myntra.com/shorts/trendyol/trendyol-women-denim-shorts/33317093/buy,https://www.myntra.com/women-shorts,1,western_wear_shorts,2025-08-12T11:03:13.069635Z
Tokyo Talkies,Women Solid Regular Shorts,272,699,(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/4/10/895e38a2-536d-40a9-987d-acbd8a15db4a1618030453757-1.jpg",https://www.myntra.com/shorts/tokyo+talkies/tokyo-talkies-women-black-solid-regular-shorts/14063026/buy,https://www.myntra.com/women-shorts,1,western_wear_shorts,2025-08-12T11:03:13.414908Z
STREET 9,Women High-Rise Denim Shorts,781,2299,(66% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27885046/2024/2/29/7ce5a032-fbee-407a-b647-df26cdd0843b1709200510942STREET9WomenHigh-RiseDenimDenimShorts1.jpg",https://www.myntra.com/shorts/street+9/street-9-women-high-rise-denim-denim-shorts/27885046/buy,https://www.myntra.com/women-shorts,1,western_wear_shorts,2025-08-12T11:03:13.858182Z
Blissclub,Women Cycling Sports Shorts,899,1599,(Rs. 700 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30669192/2024/10/16/9dd281cb-a658-4ed4-ab32-00222e8423e81729059885887-Blissclub-Women-Skinny-Fit-High-Rise-Cycling-Sports-Shorts-5-1.jpg",https://www.myntra.com/shorts/blissclub/blissclub-women-skinny-fit-high-rise-cycling-sports-shorts/30669192/buy,https://www.myntra.com/women-shorts,1,western_wear_shorts,2025-08-12T11:03:14.252796Z
Bene Kleed,Women High-Rise Shorts,951,2799,(66% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27967362/2025/7/3/96f882e1-2cbf-42eb-9a82-c726ea20fbc91751563668902-Bene-Kleed-Women-Regular-Fit-High-Rise-Cargo-Shorts-83917515-1.jpg",https://www.myntra.com/shorts/bene+kleed/bene-kleed-women-regular-fit-high-rise-cargo-shorts/27967362/buy,https://www.myntra.com/women-shorts,1,western_wear_shorts,2025-08-12T11:03:14.646129Z
Blissclub,Women Skinny Fit Sports Shorts,657,1399,(Rs. 742 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31668089/2024/12/5/93627a7b-2c1a-418d-b81a-ee94b1d384a91733369452180-Blissclub-Women-Skinny-Fit-High-Rise-Training-or-Gym-Shorts--1.jpg",https://www.myntra.com/shorts/blissclub/blissclub-women-skinny-fit-high-rise-training-or-gym-shorts/31668089/buy,https://www.myntra.com/women-shorts,1,western_wear_shorts,2025-08-12T11:03:15.079065Z
CULT,Women Slim Fit Gym Shorts,1079,2699,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33346209/2025/3/28/5813dbb0-2554-4a8a-91f2-f1a6292503761743168192795-CULT-Women-Slim-Fit-High-Rise-Training-or-Gym-Sports-Shorts--1.jpg",https://www.myntra.com/shorts/cult/cult-women-teal-urban-camo-run-built-in--shorts/33346209/buy,https://www.myntra.com/women-shorts,1,western_wear_shorts,2025-08-12T11:03:15.543295Z
Honey by Pantaloons,Women Shorts,674,899,(25% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/19/o9kW3oDz_299380859abc4c4ca07b3b91ce67cb42.jpg",https://www.myntra.com/shorts/honey+by+pantaloons/honey-by-pantaloons-women-shorts/32811480/buy,https://www.myntra.com/women-shorts,1,western_wear_shorts,2025-08-12T11:03:15.952234Z
