brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Zastraa,High Waist Scuba Mini Skorts,749,2499,(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24314812/2023/8/2/76eecee2-d966-4663-8e16-783c6e7c90f21690981403998ZASTRAAWOMENBLACKASYMMETRICSKORT1.jpg",https://www.myntra.com/skirts/zastraa/zastraa-black-high-waist-scuba-mini-skorts/24314812/buy,https://www.myntra.com/women-skirts,1,western_wear_skirts,2025-08-12T10:51:03.800240Z
anayna,Printed A-line Maxi Skirt,726,2690,(73% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24865788/2023/10/4/bca66c88-47b6-4f0b-9c34-6f68556e1a481696415908331-Anayna-Women-Printed-A-Line-Flared-Cotton-Maxi-Skirt-6316964-7.jpg",https://www.myntra.com/skirts/anayna/anayna-women-printed-a-line-flared-cotton-maxi-skirt/24865788/buy,https://www.myntra.com/women-skirts,1,western_wear_skirts,2025-08-12T10:51:04.133816Z
Trendyol,Aline Midi Length Skirt,2099,3499,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30994613/2024/9/17/5f2b5904-0b11-4c7b-b264-f7d9388153911726566617213-Trendyol-Aline-Midi-Length-Skirt-6481726566616870-1.jpg",https://www.myntra.com/skirts/trendyol/trendyol-aline-midi-length-skirt-/30994613/buy,https://www.myntra.com/women-skirts,1,western_wear_skirts,2025-08-12T10:51:04.484710Z
FLOWERVELLY,Gathered Flared Maxi Skirt,614,2749,(Rs. 2135 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/4/uv7YcuwH_5dac0d09d3c54eeb9d96ae9899b6baa5.jpg",https://www.myntra.com/skirts/flowervelly/flowervelly-gathered-flared-maxi-skirt/33485881/buy,https://www.myntra.com/women-skirts,1,western_wear_skirts,2025-08-12T10:51:04.802735Z
Ginger by Lifestyle,Flared Maxi Tiered Skirt,1169,1299,(10% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/27/YPMbZoNK_96b8ab832e4844c9b8203b6fff016658.jpg",https://www.myntra.com/skirts/ginger+by+lifestyle/ginger-by-lifestyle-women-flared-maxi-tiered-skirt/35222590/buy,https://www.myntra.com/women-skirts,1,western_wear_skirts,2025-08-12T10:51:05.152258Z
Trendyol,Printed Straight Mini Skirt,1979,3299,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27679410/2024/2/19/e7e54c91-22e1-4d2d-a5ee-0d3d17eb6e0e1708331930041Skirts1.jpg",https://www.myntra.com/skirts/trendyol/trendyol-printed-straight-mini-skirt/27679410/buy,https://www.myntra.com/women-skirts,1,western_wear_skirts,2025-08-12T10:51:05.687853Z
DRAPE AND DAZZLE,Front Slit Midi A-Line Skirt,571,2599,(78% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30146534/2024/7/6/5782e23f-ccf7-4872-b443-692608a6d1651720271757045Skirts1.jpg",https://www.myntra.com/skirts/drape+and+dazzle/drape-and-dazzle-women-denim-front-slit-midi-a-line-skirt/30146534/buy,https://www.myntra.com/women-skirts,1,western_wear_skirts,2025-08-12T10:51:06.189142Z
Kotty,Denim Straight Midi Skirt,439,1999,(78% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28271752/2024/3/14/a397223f-6996-4543-932c-18225ca7d4201710423935974Skirts1.jpg",https://www.myntra.com/skirts/kotty/kotty-denim-straight-midi-skirt/28271752/buy,https://www.myntra.com/women-skirts,1,western_wear_skirts,2025-08-12T10:51:06.842508Z
Uptownie,Cotton Box Pleated Midi Skirt,1979,2999,(34% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30075318/2024/6/29/d4e2f89f-31b7-4478-9ad2-904598a57a121719634238855UptownieBoxyPleatedSkirt1.jpg",https://www.myntra.com/skirts/uptownie/uptownie-cotton-poplin-box-pleated-midi-skirt/30075318/buy,https://www.myntra.com/women-skirts,1,western_wear_skirts,2025-08-12T10:51:07.305030Z
Zastraa,Women Mini-Length Skorts,749,2499,(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23116678/2023/5/11/8a7a7a34-ad46-4625-a6a2-cf30408777821683780952932ZastraaWomenOffWhiteSlimFitHigh-RiseShorts1.jpg",https://www.myntra.com/skirts/zastraa/zastraa-women-off-white-mini-length-skorts/23116678/buy,https://www.myntra.com/women-skirts,1,western_wear_skirts,2025-08-12T10:51:07.969100Z
