brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Marks & Spencer,Women Cardigan Sweater,1199,1999,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28168806/2024/3/9/dfdb4ed0-32aa-4acc-acd6-6a819abff0691710001140497RoundNeckCardigan1.jpg",https://www.myntra.com/sweaters/marks+%26+spencer/marks--spencer-women-cardigan-sweater/28168806/buy,https://www.myntra.com/women-sweaters,1,western_wear_sweaters,2025-08-12T11:32:38.135641Z
H&M,Cable-Knit Cardigan,1329,1899,(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31980192/2024/12/16/eb4a4d97-731f-4052-99c3-a861e05e6c0a1734339631025HMCable-KnitCardigan1.jpg",https://www.myntra.com/sweaters/h%26m/hm-women-cable-knit-cardigan/31980192/buy,https://www.myntra.com/women-sweaters,1,western_wear_sweaters,2025-08-12T11:32:38.563568Z
Trendyol,Women Ribbed Pullover,1319,2199,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20711958/2022/11/11/55aec6c3-e04e-491d-8a57-f85e074dba541668169545029Jumpsuit1.jpg",https://www.myntra.com/sweaters/trendyol/trendyol-women-blue-ribbed-pullover/20711958/buy,https://www.myntra.com/women-sweaters,1,western_wear_sweaters,2025-08-12T11:32:38.912023Z
Roadster,Women Solid Sweater,558,1299,(57% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9479111/2019/9/28/58258e36-dd85-48dc-ac7d-8b8aa220ce421569647989170-Roadster-Women-Sweaters-7751569647987823-1.jpg",https://www.myntra.com/sweaters/roadster/the-roadster-lifestyle-co-women-red-solid-sweater/9479111/buy,https://www.myntra.com/women-sweaters,1,western_wear_sweaters,2025-08-12T11:32:39.347664Z
Mast & Harbour,Embroidered Pullover Sweater,835,2199,(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9696159/2020/1/7/d8c3dfdf-0b65-427f-8536-3f46594d7dce1578387952287-Mast--Harbour-Women-Pink-Embroidered-Pullover-Sweater-889157-1.jpg",https://www.myntra.com/sweaters/mast+%26+harbour/mast--harbour-women-pink-embroidered-pullover-sweater/9696159/buy,https://www.myntra.com/women-sweaters,1,western_wear_sweaters,2025-08-12T11:32:39.698306Z
Trendyol,Women,2339,3899,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/29/J1yaAQti_102870adcb4845bcbbc2bc93fb68ac55.jpg",https://www.myntra.com/sweaters/trendyol/trendyol-women/30747211/buy,https://www.myntra.com/women-sweaters,1,western_wear_sweaters,2025-08-12T11:32:40.336703Z
H&M,Fine-Knit Cardigan,699,999,(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32047222/2024/12/23/4e8e26f6-1a21-4cec-bb76-8c7f02cb7cb91734937217283Fine-knitcardigan1.jpg",https://www.myntra.com/sweaters/h%26m/hm-fine-knit-cardigan/32047222/buy,https://www.myntra.com/women-sweaters,1,western_wear_sweaters,2025-08-12T11:32:40.798655Z
DressBerry,Ribbed Pullover,573,1399,(59% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12098684/2020/12/16/c8e34e4c-66ab-4758-b95f-dc34a96764411608105868021-DressBerry-Women-Sweaters-2791608105866678-1.jpg",https://www.myntra.com/sweaters/dressberry/dressberry-women-blue-ribbed-pullover-/12098684/buy,https://www.myntra.com/women-sweaters,1,western_wear_sweaters,2025-08-12T11:32:41.125795Z
LEZA,Women Colourblocked Pullover,799,1599,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/5/vmmMK6gf_ad3527c2f9a540bb87d49c54e64d7f6b.jpg",https://www.myntra.com/sweaters/leza/leza-women-colourblocked-round-neck-pullover-sweater/30828992/buy,https://www.myntra.com/women-sweaters,1,western_wear_sweaters,2025-08-12T11:32:41.452679Z
STREET 9,Acrylic Pullover Sweater,960,3099,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24912556/2023/9/12/492fbbb0-350c-4ebb-9fd0-e2cc5f9716fb1694531969588STREET9WomenRedWhitePrintedPullover1.jpg",https://www.myntra.com/sweaters/street+9/street-9-conversational-printed-acrylic-pullover-sweater/24912556/buy,https://www.myntra.com/women-sweaters,1,western_wear_sweaters,2025-08-12T11:32:41.819556Z
