brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
H&M,Zip-Through Hoodie,1499,1499,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/22/eO61OfXe_c4061711b0be4ed3bc2cc5793c196858.jpg",https://www.myntra.com/sweatshirts/h%26m/hm-zip-through-hoodie/31385843/buy,https://www.myntra.com/women-sweatshirts,1,western_wear_sweatshirts,2025-08-12T11:24:05.903400Z
Marks & Spencer,Women Solid Sweatshirt,1249,2499,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19831000/2022/9/25/3accdad3-731a-4cdf-af9a-37c7f17042211664130401692MarksSpencerWomenGreySolidSweatshirt1.jpg",https://www.myntra.com/sweatshirts/marks+%26+spencer/marks--spencer-women-grey-solid-sweatshirt/19831000/buy,https://www.myntra.com/women-sweatshirts,1,western_wear_sweatshirts,2025-08-12T11:24:06.232184Z
CAVA,Women Sweatshirt,1264,2299,(45% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25312770/2023/10/2/cb671541-f654-41d7-a8cf-09cb03b40cdc1696265423736CAVAWomenBlueSweatshirt1.jpg",https://www.myntra.com/sweatshirts/cava/cava-moscow-blue-essential-sweatshirt/25312770/buy,https://www.myntra.com/women-sweatshirts,1,western_wear_sweatshirts,2025-08-12T11:24:06.618534Z
H&M,Text-motif sweatshirt,1049,1499,(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/DECEMBER/2/zPFRgk4k_728830d5192748fca811f0f4c00be11c.jpg",https://www.myntra.com/sweatshirts/h%26m/hm-text-motif-sweatshirt/31816526/buy,https://www.myntra.com/women-sweatshirts,1,western_wear_sweatshirts,2025-08-12T11:24:07.096765Z
Marks & Spencer,Women Hoodie Sweatshirt,1749,3499,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/1/YjpnY2BQ_65e321450cb9460daf87d59d07b2c21b.jpg",https://www.myntra.com/sweatshirts/marks+%26+spencer/marks--spencer-women-pure-cotton-embellished-longline-hoodie-sweatshirt-/31468051/buy,https://www.myntra.com/women-sweatshirts,1,western_wear_sweatshirts,2025-08-12T11:24:07.604383Z
United Colors of Benetton,Women Pullover Sweatshirt,2499,2499,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/10/aeUZhcY4_f03a2d65b067448eb23029e604ef7fa1.jpg",https://www.myntra.com/sweatshirts/united+colors+of+benetton/united-colors-of-benetton-women-embroidered-pullover-sweatshirt/35505811/buy,https://www.myntra.com/women-sweatshirts,1,western_wear_sweatshirts,2025-08-12T11:24:08.161838Z
H&M,Zip-Through Hoodie,1499,1499,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26542362/2023/12/21/a4f51027-cbde-4cb2-bc48-97fe0362e0511703133179119HMZip-ThroughHoodie1.jpg",https://www.myntra.com/sweatshirts/h%26m/hm-zip-through-hoodie/26542362/buy,https://www.myntra.com/women-sweatshirts,1,western_wear_sweatshirts,2025-08-12T11:24:08.591410Z
H&M,Loose-Fit Sweatshirt,559,799,(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31945638/2024/12/12/7e2c46b6-33a4-4e55-951c-22996bf7d1e41734002950034HMLoose-FitSweatshirt1.jpg",https://www.myntra.com/sweatshirts/h%26m/hm-loose-fit-sweatshirt/31945638/buy,https://www.myntra.com/women-sweatshirts,1,western_wear_sweatshirts,2025-08-12T11:24:09.184571Z
CAVA,Essential Sweatshirt,1264,2299,(45% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/30/v7mGz7JN_233f2889174441ae900b2f43312c7443.jpg",https://www.myntra.com/sweatshirts/cava/cava-cappucino-cava-essential-sweatshirt/31798805/buy,https://www.myntra.com/women-sweatshirts,1,western_wear_sweatshirts,2025-08-12T11:24:10.234482Z
Roadster,Women Solid Sweatshirt,559,999,(44% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2163829/2017/11/22/11511351769059-Roadster-Women-Navy-Blue-Solid-Hooded-Sweatshirt-631511351768876-1.jpg",https://www.myntra.com/sweatshirts/roadster/roadster-women-navy-blue-solid-hooded-sweatshirt/2163829/buy,https://www.myntra.com/women-sweatshirts,1,western_wear_sweatshirts,2025-08-12T11:24:12.732797Z
GAP,Brand Logo Printed Sweatshirt,1539,2799,(45% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/19/yznXHNhI_857768118ea0484e9183ab796941165e.jpg",https://www.myntra.com/sweatshirts/gap/gap-brand-logo-printed-sweatshirt/35042774/buy,https://www.myntra.com/women-sweatshirts,1,western_wear_sweatshirts,2025-08-12T11:24:13.141819Z
