brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
CORSICA,Indie Floral Printed Vest,299,1399,(Rs. 1100 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/20/1icPFn5V_1c71a185856944aa9e4819294ab3ba73.jpg",https://www.myntra.com/tops/corsica/corsica-indie-floral-printed-vest/32043469/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:47.098522Z
Anouk Rustic,Floral Print Top,499,1699,(Rs. 1200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/22/hccBtWeQ_27a88c98028049fe95da386d74fb20b7.jpg",https://www.myntra.com/tops/anouk+rustic/anouk-rustic-floral-print-top/32900376/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:47.688710Z
Trendyol,V Neck Top,1619,2699,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29780788/2024/5/27/87b98c7c-bf12-451f-bbb9-a5c43aff6ffa1716791569680TrendyolTop1.jpg",https://www.myntra.com/tops/trendyol/trendyol-v-neck-long-sleeves-top/29780788/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:48.462087Z
Chemistry,Square Neck Fitted Top,524,1499,(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/34716785/2025/7/14/d9a15552-d061-4a87-b7fa-6a4c8cda501a1752492144033-Chemistry-Women-Square-Neck-Fitted-Top-8011752492143570-1.jpg",https://www.myntra.com/tops/chemistry/chemistry-women-square-neck-fitted-top/34716785/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:49.367472Z
CORSICA,Floral Embroidered Tie-Up Top,399,1399,(Rs. 1000 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33672324/2025/5/12/5add92c0-16a1-4aed-b67b-a20f3f9a8bc81747051388622-CORSICA-Women-Tops-5521747051388133-1.jpg",https://www.myntra.com/tops/corsica/corsica-floral-embroidered-tie-up-top/33672324/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:50.015724Z
Trendyol,Print Top,1019,1699,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20198022/2022/9/28/1a301a2b-7f8e-4c34-ba5d-dcccf91ce2561664362101438Tops1.jpg",https://www.myntra.com/tops/trendyol/trendyol-women-multicoloured-print-top/20198022/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:51.783547Z
Azira,Floral Print Peplum Top,699,1899,(Rs. 1200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27444018/2024/3/23/abd46d27-4775-411b-b3e4-37d2fdf5b6e11711174676396-Azira-Floral-Print-Mandarin-Collar-Puff-Sleeve-Cotton-Peplum-11.jpg",https://www.myntra.com/tops/azira/azira-floral-print-mandarin-collar-puff-sleeve-cotton-peplum-top/27444018/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:52.571701Z
Dream Beauty Fashion,Women Solid Top,239,999,(Rs. 760 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30135981/2024/7/6/9987e155-7412-4811-8942-915b11d945df1720241189228DreamBeautyFashionTop1.jpg",https://www.myntra.com/tops/dream+beauty+fashion/dream-beauty-fashion-women-solid-shirt-collar-polyester-top/30135981/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:53.189074Z
Trendyol,Plus Size Fitted Top,1379,2299,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26228034/2023/12/4/1eb2ffd3-afc9-440e-a562-17ef7ec5f1b81701697909085TrendyolTop1.jpg",https://www.myntra.com/tops/trendyol/trendyol-plus-size-notched-neck-long-sleeves-fitted-top/26228034/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:53.612862Z
Zenava by Myntra,Women Printed Sleeveless Top,569,1897,(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/14/Or04pYcX_3448743f84dc435dba9bcff4981946c8.jpg",https://www.myntra.com/tops/zenava+by+myntra/zenava-by-myntra-women-ethnic-motifs-printed-v-neck-sleeveless-cotton-top/33594293/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:54.139198Z
DressBerry,Women Printed Lapel Collar Top,699,2499,(72% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32118247/2024/12/27/d452ae56-0392-49aa-8205-76405bac59061735310844989DressBerryPrintCrepeBlousonTop1.jpg",https://www.myntra.com/tops/dressberry/dressberry-women-printed-lapel-collar-top/32118247/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:55.141319Z
RAREISM,Print Kimono Sleeve Top,2963,3799,(22% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/29/oy4zqqQp_a731ccf885af43609a0f5df590b9a67f.jpg",https://www.myntra.com/tops/rareism/rareism-print-kimono-sleeve-top/32556515/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:55.623016Z
Stylecast X Slyck,Printed Shirt Style Top,407,1199,(66% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26028306/2023/12/4/c547e306-01f8-4ec3-9a26-438f57104e551701679863522SlyckBeigeGeometricPrintTop1.jpg",https://www.myntra.com/tops/stylecast+x+slyck/stylecast-x-slyck-geometric-printed-shirt-style-top/26028306/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:56.162661Z
SASSAFRAS,Ribbed Scoop Neck Fitted Top,657,1399,(53% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24956616/2023/9/14/66ecc6c8-2eaf-4ada-8e85-c65ef75184151694676658023SASSAFRASBlackTop1.jpg",https://www.myntra.com/tops/sassafras/sassafras-black-ribbed-scoop-neck-fitted-top/24956616/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:56.877134Z
Label Ritu Kumar,Floral Print Tie-Up Neck Top,870,2900,(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22374604/2023/8/9/d8856810-9bef-46e9-9169-50fb5609b7e71691582118840-Label-Ritu-Kumar-Women-Tops-8771691582118422-1.jpg",https://www.myntra.com/tops/label+ritu+kumar/label-ritu-kumar-floral-print-tie-up-neck-flutter-sleeves-cotton-top/22374604/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:57.386555Z
Kotty,Women Printed Casual Top,194,1299,(85% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/10/SYG7EVCq_484075dbff594bdc9a4cd0dffd290bca.jpg",https://www.myntra.com/tops/kotty/kotty-women-abstract-printed-satin-v-neck-wrap-sleeveless-satin-casual-top/31281298/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:58.032851Z
all about you,Floral Print Shirt Style Top,424,1699,(75% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26334824/2024/2/21/3c777f62-f6ef-4e30-aa35-51d50b009fdb1708500712094-all-about-you-Women-Tops-9401708500711715-1.jpg",https://www.myntra.com/tops/all+about+you/all-about-you-floral-print-cotton-shirt-style-top/26334824/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:58.459327Z
Trendyol,Shoulder Straps Top,899,1499,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27536394/2024/2/12/f8a80789-20a3-4876-93ac-723afeaa99471707729913133TrendyolTop1.jpg",https://www.myntra.com/tops/trendyol/trendyol-cowl-neck-shoulder-straps-top/27536394/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:58.979660Z
Aaghnya,Embroidered Puff Sleeve Top,379,3197,(Rs. 2818 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/16/X62W902K_78c422bc62a6498a992d48d82b7fe754.jpg",https://www.myntra.com/tops/aaghnya/aaghnya-women-1ethinic-motifs-embroidered-a-line-top/34169822/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:59.458480Z
CORSICA,Floral Print Top,299,1399,(Rs. 1100 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33549648/2025/5/6/a747a53a-e0b2-489d-80be-234df520bcd81746508846607-CORSICA-Women-Tops-7501746508845992-1.jpg",https://www.myntra.com/tops/corsica/corsica-floral-print-top/33549648/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:15:59.790777Z
Trendyol,Women Cotton Fitted Top,2999,4999,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/19/Mp8Joe7p_e308d8f6103f4cdabfce01da3f0e7c9d.jpg",https://www.myntra.com/tops/trendyol/trendyol-women-cotton-gathered-fitted-top/31668804/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:16:00.114246Z
Roadster,Printed Shirt Style Top,478,3197,(Rs. 2719 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33160283/2025/7/12/85f9f657-ed74-4cc7-85fb-f2db271057761752329137188-The-Roadster-Lifestyle-Co-Floral-Printed-Shirt-Style-Top-841-1.jpg",https://www.myntra.com/tops/roadster/the-roadster-lifestyle-co-floral-printed-shirt-style-top/33160283/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:16:00.419401Z
Anouk,Printed Pure Cotton Top,679,1999,(66% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29958960/2024/6/13/28b75258-4d5f-478a-bfa2-18455fd5a0c01718280596571AnoukPrintMandarinCollarCottonTop4.jpg",https://www.myntra.com/tops/anouk/anouk-ethnic-printed-cuban-collar-pure-cotton-shirt-style-top/29958960/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:16:00.747214Z
Trendyol,One Shoulder Top,779,1299,(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29700272/2024/5/23/593aaad1-f17c-4c75-aa15-44559c3e1bcc1716445895235TrendyolOneShoulderExtendedSleevesTop1.jpg",https://www.myntra.com/tops/trendyol/trendyol-one-shoulder-extended-sleeves-top/29700272/buy,https://www.myntra.com/women-tops,1,western_wear_tops,2025-08-12T10:16:01.061753Z
