brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Decathlon,Women Loose Fit Track Pants,1223,1699,(28% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/9/98NajwRD_43ce5babe0fc4908933a1f82a963c750.jpg",https://www.myntra.com/track-pants/decathlon/decathlon-women-black-quick-dry-running-trackpants-with-3-pockets/12964900/buy,https://www.myntra.com/women-track-pants,1,western_wear_track_pants,2025-08-12T11:14:40.685418Z
Stylecast X Slyck,Women Loose Fit Track Pant,650,2099,(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32238596/2025/1/7/2af74510-2b80-451a-9549-2687336974831736244132100StylecastXSlyckWomenComfortLooseFitPleatedTrousers1.jpg",https://www.myntra.com/track-pants/stylecast+x+slyck/stylecast-x-slyck-women-comfort-loose-fit-pleated-track-pant/32238596/buy,https://www.myntra.com/women-track-pants,1,western_wear_track_pants,2025-08-12T11:14:41.217155Z
Blissclub,Ultimate Flare Pants - Regular,1499,2299,(Rs. 800 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17380124/2025/7/16/e8c89fe7-3ee0-40c6-879b-b67504b9aee01752662983364-Blissclub-Women-High-Waist-The-Ultimate-Flare-Track-Pants----1.jpg",https://www.myntra.com/track-pants/blissclub/blissclub-women-high-waist-the-ultimate-flare-track-pants---regular/17380124/buy,https://www.myntra.com/women-track-pants,1,western_wear_track_pants,2025-08-12T11:14:41.567975Z
Decathlon,Women Regular Fit Track Pants,1175,1199,(2% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13001476/2020/11/17/3b108785-b73d-45c8-9520-1e62ecd2a82a1605607155506NYAMBAByDecathlonWomenGreyRegularFitSolidRegularTrousers1.jpg",https://www.myntra.com/track-pants/decathlon/decathlon--women-grey-cotton-stretchable-gym-track-pant/13001476/buy,https://www.myntra.com/women-track-pants,1,western_wear_track_pants,2025-08-12T11:14:42.089946Z
Bonkers Corner,Women Wide Leg Track Pants,1199,1599,(25% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23291736/2023/11/9/76b01f9a-58ef-4ad8-a13a-29a6fee511361699513143862-Bonkers-Corner-Women-Black-Mid-Rise-Wide-Leg-Track-Pants-432-11.jpg",https://www.myntra.com/track-pants/bonkers+corner/bonkers-corner-women-black-mid-rise-wide-leg-track-pants/23291736/buy,https://www.myntra.com/women-track-pants,1,western_wear_track_pants,2025-08-12T11:14:42.406964Z
JOLGER,Flared Track Pants,1325,1949,(32% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33358461/2025/4/8/4d77f3bc-0fda-4a9e-b653-d689f09b15421744094106733-JOLGER-Women-Stretchable-High-Waist-Regular-Length-Flared-Ti-1.jpg",https://www.myntra.com/track-pants/jolger/jolger-women-stretchable-high-waist-regular-flared-track-pants/33358461/buy,https://www.myntra.com/women-track-pants,1,western_wear_track_pants,2025-08-12T11:14:42.954829Z
Decathlon,Women Track Pants,1199,1499,(20% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/6/kHfjvSlL_f9041bb4910943aa82cb1c2bb39bad44.jpg",https://www.myntra.com/track-pants/decathlon/decathlon-women-breathable-running-track-pants---run-100/33077569/buy,https://www.myntra.com/women-track-pants,1,western_wear_track_pants,2025-08-12T11:14:43.296567Z
HRX by Hrithik Roshan,Women Training Track pants,434,1499,(71% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14703942/2021/10/26/ca4fb299-c7bf-4580-8b21-c473ce1e369a1635245066070-HRX-by-Hrithik-Roshan-Women-Track-Pants-4531635245065185-4.jpg",https://www.myntra.com/track-pants/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-training-women-jet-black-rapid-dry-brand-carrier-track-pants/14703942/buy,https://www.myntra.com/women-track-pants,1,western_wear_track_pants,2025-08-12T11:14:43.580293Z
Puma,Class Women Cotton Track Pants,3499,3499,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/30/gLdufza7_31935b3be86142b3a9d5d1b85092ed4b.jpg",https://www.myntra.com/track-pants/puma/puma-class-women-high-waist-cotton-track-pants/35263920/buy,https://www.myntra.com/women-track-pants,1,western_wear_track_pants,2025-08-12T11:14:43.845509Z
Puma,Women Cotton Track Pants,1124,2499,(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32436500/2025/6/17/32d901fa-8bab-402b-ad24-2dd3bd9535491750156591421-Puma--Women-Printed-Graphic-Regular-Fit-Cotton-Track-Pants-5-1.jpg",https://www.myntra.com/track-pants/puma/puma--women-printed-graphic-regular-fit-cotton-track-pants/32436500/buy,https://www.myntra.com/women-track-pants,1,western_wear_track_pants,2025-08-12T11:14:44.159208Z
