brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
SASSAFRAS,Women Slim Fit Trousers,683,1799,(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25029096/2023/9/16/3e6bb8e3-58f9-4eb7-b2ed-f4d15c393fa81694873386395SASSAFRASWomenWhiteSlimFitTrousers1.jpg",https://www.myntra.com/trousers/sassafras/sassafras-women-white-slim-fit-mid-rise-trousers/25029096/buy,https://www.myntra.com/women-trousers,1,western_wear_trousers,2025-08-12T10:15:46.476939Z
AAHWAN,Women High-Rise Trousers,799,1999,(Rs. 1200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/1/mGTsra87_0135e83426504269b5e1f90117e82301.jpg",https://www.myntra.com/trousers/aahwan/aahwan-women-high-rise-wide-leg-loose-fit-trousers/33436462/buy,https://www.myntra.com/women-trousers,1,western_wear_trousers,2025-08-12T10:15:47.251771Z
TWIN BIRDS,Women Mid-Rise Trousers,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25480200/2024/5/7/8089b7ca-01a4-4d35-8825-4cc568fa3cb81715061519041-TWIN-BIRDS-Women-Mid-Rise-Cropped-Cotton-Trousers-6491715061-1.jpg",https://www.myntra.com/trousers/twin+birds/twin-birds-women-mid-rise-cropped-cotton-trousers/25480200/buy,https://www.myntra.com/women-trousers,1,western_wear_trousers,2025-08-12T10:15:47.738832Z
AAHWAN,Women Loose Fit Pleated High-Rise Trousers,799,1999,(Rs. 1200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/21/KUtP1DYP_d36bb341483d4d368bae51f433599ace.jpg",https://www.myntra.com/trousers/aahwan/aahwan-women-relaxed-loose-fit-high-rise-pleated-trousers/31693183/buy,https://www.myntra.com/women-trousers,1,western_wear_trousers,2025-08-12T10:15:48.504997Z
SASSAFRAS worklyf,Women Formal Parallel Trousers,702,1899,(63% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25773276/2023/11/6/092c4232-456a-4521-aff5-9a77ee8d12281699245114760SASSAFRASworklyfWomenBlackHigh-RiseTrousers1.jpg",https://www.myntra.com/trousers/sassafras+worklyf/sassafras-worklyf-women-formal-parallel-trousers/25773276/buy,https://www.myntra.com/women-trousers,1,western_wear_trousers,2025-08-12T10:15:49.371261Z
TWIN BIRDS,Women Pure Cotton Trousers,599,599,,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25177280/2024/4/2/27c7a40d-e87a-4212-8a84-3321886952ce1712051052983-TWIN-BIRDS-Women-Mid-Rise-Regular-Fit-Cotton-Trousers-785171-1.jpg",https://www.myntra.com/trousers/twin+birds/twin-birds-women-mid-rise-regular-fit-cotton-trousers/25177280/buy,https://www.myntra.com/women-trousers,1,western_wear_trousers,2025-08-12T10:15:49.950841Z
Blissclub,Fit High-Rise Trousers,999,1999,(Rs. 1000 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29954934/2025/7/16/5fcc0544-886f-4897-8a93-601a8b0378871752663514672-Blissclub-Women-Ultimate-Straight-Pants--Lite-Regular-Trouse-1.jpg",https://www.myntra.com/trousers/blissclub/blissclub-women-ultimate-straight-pants--lite-regular-trousers/29954934/buy,https://www.myntra.com/women-trousers,1,western_wear_trousers,2025-08-12T10:15:51.781513Z
IVOC,Women Straight Fit High-Rise Joggers Trousers,1439,3599,(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30071789/2025/2/10/69e89e2b-667a-485b-96c3-bb1edd2d3fa01739168977973-IVOC-Women-Straight-Fit-High-Rise-Cargo-Trousers-27417391689-1.jpg",https://www.myntra.com/trousers/ivoc/ivoc-women-straight-fit-high-rise-cargo-trousers/30071789/buy,https://www.myntra.com/women-trousers,1,western_wear_trousers,2025-08-12T10:15:52.575129Z
MANGO,Women Pleated Trousers,2395,4790,(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30543850/2024/8/24/5c53767f-3982-4042-98e0-f6fe379e4bc11724475279258-MANGO-Women-Striped-Suit-Pleated-Trousers-8871724475278879-1.jpg",https://www.myntra.com/trousers/mango/mango-women-striped-suit-pleated-trousers/30543850/buy,https://www.myntra.com/women-trousers,1,western_wear_trousers,2025-08-12T10:15:53.200543Z
SASSAFRAS,Women Flared Parallel Trousers,679,1999,(66% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27557746/2024/2/13/f80c567a-aeba-4b2b-b5fb-6b80ed364c211707809075075SASSAFRASWomenFlaredHigh-RisePleatedTrousers1.jpg",https://www.myntra.com/trousers/sassafras/sassafras-women-black-flared-high-rise-pleated-parallel-trousers/27557746/buy,https://www.myntra.com/women-trousers,1,western_wear_trousers,2025-08-12T10:15:53.610720Z
