brand,product_name,current_price,original_price,discount,image_url,detail_url,source_url,page_number,category,scraped_at
Leotude,Women Solid Cotton T-shirt,299,1099,(Rs. 800 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/27/RtaSLVvb_2b3aec8fc5d84b7a93f968a13538edd4.jpg",https://www.myntra.com/tshirts/leotude/leotude-women-solid-round-neck-cotton-oversized-t-shirt/32490526/buy,https://www.myntra.com/women-tshirts,1,western_wear_tshirts,2025-08-12T10:15:47.233343Z
DILLINGER,Printed Relaxed Cotton T-shirt,405,1399,(71% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29961765/2024/7/19/1be14d68-2b65-4e3d-948b-c5f292096d1a1721373454726-DILLINGER-Printed-Oversized-Pure-Cotton-T-shirt-610172137345-1.jpg",https://www.myntra.com/tshirts/dillinger/dillinger-graphic-printed-relaxed-fit-pure-cotton-t-shirt/29961765/buy,https://www.myntra.com/women-tshirts,1,western_wear_tshirts,2025-08-12T10:15:47.739037Z
U.S. Polo Assn. Women,Women Polo Collar T-shirt,1055,1599,(34% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33049690/2025/6/7/b5e9dd57-6ce3-401f-ba41-e5bc6da86d911749306879886-US-Polo-Assn-Women-Women-Polo-Collar-T-shirt-985174930687929-1.jpg",https://www.myntra.com/tshirts/u.s.+polo+assn.+women/us-polo-assn-women-women-polo-collar-t-shirt/33049690/buy,https://www.myntra.com/women-tshirts,1,western_wear_tshirts,2025-08-12T10:15:48.553956Z
appulse,Women Solid T-shirt,316,999,(Rs. 683 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/22/F2NOTFfQ_914ffb6bbf244ba288d758f5097f2b98.jpg",https://www.myntra.com/tshirts/appulse/appulse-women-solid-round-neck-cotton-t-shirt/31377305/buy,https://www.myntra.com/women-tshirts,1,western_wear_tshirts,2025-08-12T10:15:49.429458Z
Fabflee,Cotton Oversized T-shirt,287,1599,(Rs. 1312 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25992760/2025/2/3/49e71d97-f220-4996-b0ac-daac8e2162131738589830233-Fabflee-Graphic-Printed-Cotton-Oversized-T-shirt-48017385898-1.jpg",https://www.myntra.com/tshirts/fabflee/fabflee-women-graphic-printed-drop-shoulder-sleeves-cotton-oversized-t-shirt/25992760/buy,https://www.myntra.com/women-tshirts,1,western_wear_tshirts,2025-08-12T10:15:50.029188Z
U.S. Polo Assn. Women,Printed Polo Collar T-shirt,1424,1899,(25% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26934004/2024/1/16/bf1c50e0-2546-4f09-a655-de0cb0317ed41705371371271USPoloAssnWomenWomenWhitePrintedPoloCollarPocketsT-shirt1.jpg",https://www.myntra.com/tshirts/u.s.+polo+assn.+women/us-polo-assn-women-ethnic-motifs-printed-polo-collar-t-shirt/26934004/buy,https://www.myntra.com/women-tshirts,1,western_wear_tshirts,2025-08-12T10:15:51.783507Z
CORSICA,Women Striped Cotton T-shirt,319,999,(68% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/31/GHwtLC6b_d5ea4320283f4723ac6aa5eef60e9f8e.jpg",https://www.myntra.com/tshirts/corsica/corsica-women-bio-finish-striped-round-neck-cotton-relaxed-fit-t-shirt/32573503/buy,https://www.myntra.com/women-tshirts,1,western_wear_tshirts,2025-08-12T10:15:52.579785Z
Roadster,Solid V-Neck Pure Cotton T-shirt,204,499,(59% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/4/LoOF7sRy_87c760466d0d416287fe0b947522f22a.jpg",https://www.myntra.com/tshirts/roadster/roadster-women-white-solid-v-neck-pure-cotton-t-shirt/11690882/buy,https://www.myntra.com/women-tshirts,1,western_wear_tshirts,2025-08-12T10:15:53.131631Z
Kazo,Women Printed Cotton T-shirt,1163,1790,(35% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/10/zZwmf3Bg_19e53ee4e4cc4160aab4286f7e792ef8.jpg",https://www.myntra.com/tshirts/kazo/kazo-women-snow-white-graphic-printed-round-neck-cotton-relaxed-fit-t-shirt/33554384/buy,https://www.myntra.com/women-tshirts,1,western_wear_tshirts,2025-08-12T10:15:53.585829Z
DILLINGER,Pure Cotton T-shirt,405,1399,(71% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27873896/2024/3/5/3038cf62-62c1-46d4-b084-c8f6404b6f0c1709629322540DILLINGERGraphicPrintedOversizedPureCottonT-shirt1.jpg",https://www.myntra.com/tshirts/dillinger/dillinger-graphic-printed-oversized-pure-cotton-t-shirt/27873896/buy,https://www.myntra.com/women-tshirts,1,western_wear_tshirts,2025-08-12T10:15:54.115359Z
